TOKEN	TOPIC_NUM	POST_NUM	SENT_NUM	IS_ANSWER	HEAD	NER	COREFERENCE_CLUSTER	
инцеденты	1	1	17	0	были	0	0	
уже	1	1	17	0	были	0	0	
были	1	1	17	0	боюсь	0	0	
рассеянность	1	1	18	0	ухитрилась	0	0	
ухитрилась	1	1	18	0	ухитрилась	0	0	
заблудиться	1	1	18	0	ухитрилась	0	0	
возле	1	1	18	0	дома	0	0	
собственного	1	1	18	0	дома	0	0	
дома	1	1	18	0	заблудиться	0	0	
врач	1	1	19	0	велела	0	0	
велела	1	1	19	0	велела	0	0	
больше	1	1	19	0	спать	0	0	
спать	1	1	19	0	велела	0	0	
но	1	1	20	0	сплю	0	0	
я	1	1	20	0	сплю	0	0	
сплю	1	1	20	0	сплю	0	0	
как	1	1	20	0	обычно	0	0	
обычно	1	1	20	0	сплю	0	0	
и	1	1	20	0	часом	0	0	
не	1	1	20	0	часом	0	0	
часом	1	1	20	0	обычно	0	0	
больше	1	1	20	0	сплю	0	0	
ждать	1	1	21	0	ждать	0	0	
ли	1	1	21	0	ждать	0	0	
мне	1	1	21	0	ждать	0	0	
положительных	1	1	21	0	результатов	0	0	
результатов	1	1	21	0	ждать	0	0	
или	1	1	21	0	дура	0	0	
я	1	1	21	0	дура	0	0	
просто	1	1	21	0	дура	0	0	
дура	1	1	21	0	ждать	0	0	
что	1	1	21	0	подсела	0	0	
подсела	1	1	21	0	ждать	0	0	
на	1	1	21	0	таблетки	0	0	
таблетки	1	1	21	0	подсела	0	рисполепт	
так	1	1	21	0	говорят	0	0	
говорят	1	1	21	0	таблетки	0	0	
все	1	1	21	0	родственники	0	0	
родственники	1	1	21	0	говорят	0	0	
прошу	1	1	22	0	прошу	0	0	
прощения	1	1	22	0	прошу	0	0	
за	1	1	22	0	рассказ	0	0	
такой	1	1	22	0	рассказ	0	0	
пространный	1	1	22	0	рассказ	0	0	
рассказ	1	1	22	0	прощения	0	0	
о	1	1	22	0	жизни	0	0	
жизни	1	1	22	0	рассказ	0	0	
впервые	1	1	23	0	решила	0	0	
решила	1	1	23	0	решила	0	0	
воспользоваться	1	1	23	0	решила	0	0	
форумом	1	1	23	0	воспользоваться	0	0	
ещё	1	1	23	0	нет	0	0	
нет	1	1	23	0	решила	0	0	
опыта	1	1	23	0	нет	0	0	
люди	1	1	24	0	люди	0	0	
если	1	1	25	0	беспокою	0	0	
даже	1	1	25	0	я	0	0	
я	1	1	25	0	беспокою	0	0	
беспокою	1	1	25	0	беспокою	0	0	
вас	1	1	25	0	беспокою	0	0	
впустую	1	1	25	0	беспокою	0	0	
если	1	1	26	0	неравнодушный	0	0	
кто	1	1	26	0	неравнодушный	0	0	
нибудь	1	1	26	0	есть	0	0	
есть	1	1	26	0	неравнодушный	0	0	
неравнодушный	1	1	26	0	будет	0	0	
будет	1	1	26	0	время	0	0	
время	1	1	26	0	время	0	0	
посоветуйте	1	1	26	0	время	0	0	
как	1	1	26	0	реагировать	0	0	
мне	1	1	26	0	реагировать	0	0	
реагировать	1	1	26	0	посоветуйте	0	0	
на	1	1	26	0	происходящее	0	0	
происходящее	1	1	26	0	реагировать	0	0	
что	1	1	26	0	можно	0	0	
можно	1	1	26	0	время	0	0	
почитать	1	1	26	0	можно	0	0	
на	1	1	26	0	тему	0	0	
эту	1	1	26	0	тему	0	0	
тему	1	1	26	0	почитать	0	0	
может	1	1	27	0	выбрала	0	0	
я	1	1	27	0	выбрала	0	0	
выбрала	1	1	27	0	выбрала	0	0	
не	1	1	27	0	ту	0	0	
ту	1	1	27	0	тему	0	0	
тему	1	1	27	0	выбрала	0	0	
чтобы	1	1	27	0	писать	0	0	
писать	1	1	27	0	выбрала	0	0	
в	1	1	27	0	форум	0	0	
форум	1	1	27	0	писать	0	0	
и	1	1	28	0	прошу	0	0	
снова	1	1	28	0	прошу	0	0	
прошу	1	1	28	0	прошу	0	0	
прощения	1	1	28	0	прошу	0	0	
если	1	1	28	0	возможно	0	0	
таковое	1	1	28	0	возможно	0	0	
возможно	1	1	28	0	прошу	0	0	
надо	1	2	0	1	надо	0	0	
подумать	1	2	0	1	надо	0	0	
сказал(а	1	2	0	1	подумать	0	0	
ждать	1	2	0	1	ждать	0	0	
ли	1	2	0	1	ждать	0	0	
мне	1	2	0	1	ждать	0	0	
положительных	1	2	0	1	результатов	0	0	
результатов	1	2	0	1	ждать	0	0	
или	1	2	0	1	дура	0	0	
я	1	2	0	1	дура	0	0	
просто	1	2	0	1	дура	0	0	
дура	1	2	0	1	ждать	0	0	
что	1	2	0	1	подсела	0	0	
подсела	1	2	0	1	ждать	0	0	
на	1	2	0	1	таблетки	0	0	
таблетки	1	2	0	1	подсела	0	рисполепт	
так	1	2	0	1	говорят	0	0	
говорят	1	2	0	1	таблетки	0	0	
все	1	2	0	1	родственники	0	0	
родственники	1	2	0	1	говорят	0	0	
исходя	1	2	1	0	серьезные	0	0	
из	1	2	1	0	написанного	0	0	
написанного	1	2	1	0	исходя	0	0	
вами	1	2	1	0	написанного	0	0	
проблемы	1	2	1	0	серьезные	0	0	
все	1	2	1	0	достаточно	0	0	
таки	1	2	1	0	достаточно	0	0	
достаточно	1	2	1	0	серьезные	0	0	
серьезные	1	2	1	0	серьезные	0	0	
и	1	2	1	0	требуют	0	0	
видимо	1	2	1	0	требуют	0	0	
требуют	1	2	1	0	серьезные	0	0	
именно	1	2	1	0	психофармакотерапии	0	0	
психофармакотерапии	1	2	1	0	требуют	0	0	
так	1	2	2	0	нужны	0	0	
что	1	2	2	0	так	0	0	
таблетки	1	2	2	0	нужны	0	0	
нужны	1	2	2	0	нужны	0	0	
но	1	2	3	0	какие	0	0	
вот	1	2	3	0	какие	0	0	
какие	1	2	3	0	должен	0	0	
именно	1	2	3	0	какие	0	0	
подбирать	1	2	3	0	какие	0	0	
дозу	1	2	3	0	подбирать	0	0	
учитывать	1	2	3	0	какие	0	0	
побочные	1	2	3	0	эффекты	0	0	
эффекты	1	2	3	0	учитывать	0	0	
это	1	2	3	0	должен	0	0	
все	1	2	3	0	это	0	0	
должен	1	2	3	0	должен	0	0	
делать	1	2	3	0	должен	0	0	
лечащий	1	2	3	0	врач	0	0	
врач	1	2	3	0	делать	0	0	
в	1	2	4	0	принципе	0	0	
принципе	1	2	4	0	могут	0	0	
те	1	2	4	0	эффекты	0	0	
эффекты	1	2	4	0	могут	0	0	
которые	1	2	4	0	описали	0	0	
вы	1	2	4	0	описали	0	0	
описали	1	2	4	0	эффекты	0	0	
могут	1	2	4	0	могут	0	0	
быть	1	2	4	0	приеме	0	0	
при	1	2	4	0	приеме	0	0	
приеме	1	2	4	0	могут	0	0	
рисполепта	1	2	4	0	приеме	мед	рисполепт	
эти	1	2	5	0	эффекты	0	0	
побочные	1	2	5	0	эффекты	0	0	
эффекты	1	2	5	0	могут	0	0	
могут	1	2	5	0	могут	0	0	
проходить	1	2	5	0	могут	0	0	
через	1	2	5	0	дней	0	0	
несколько	1	2	5	0	дней	0	0	
дней	1	2	5	0	проходить	0	0	
после	1	2	5	0	начала	0	0	
начала	1	2	5	0	дней	0	0	
лечения	1	2	5	0	начала	0	0	
могут	1	2	5	0	могут	0	0	
требовать	1	2	5	0	могут	0	0	
коррекции	1	2	5	0	требовать	0	0	
дозы	1	2	5	0	коррекции	0	0	
назначение	1	2	5	0	коррекции	0	0	
корректоров	1	2	5	0	назначение	0	0	
нейролептической	1	2	5	0	терапии	0	0	
терапии	1	2	5	0	корректоров	0	0	
или	1	2	5	0	смены	0	0	
смены	1	2	5	0	терапии	0	0	
препарата	1	2	5	0	смены	0	0	
p.s	1	2	6	0	p.s	0	0	
напишите	1	2	7	0	напишите	0	0	
пожалуйста	1	2	7	0	напишите	0	0	
как	1	2	7	0	чувствуете	0	0	
себя	1	2	7	0	чувствуете	0	0	
чувствуете	1	2	7	0	пожалуйста	0	0	
сейчас	1	2	7	0	чувствуете	0	0	
есть	1	2	8	0	есть	0	0	
какие	1	2	8	0	изменения	0	0	
то	1	2	8	0	изменения	0	0	
изменения	1	2	8	0	есть	0	0	
а	1	3	0	0	назначили	0	0	
почему	1	3	0	0	назначили	0	0	
именно	1	3	0	0	почему	0	0	
назначили	1	3	0	0	назначили	0	0	
рисперидон	1	3	0	0	назначили	мед	рисперидон	
у	1	3	1	0	вас	0	0	
вас	1	3	1	0	наблюдается	0	0	
вероятно	1	3	1	0	наблюдается	0	0	
наблюдается	1	3	1	0	наблюдается	0	0	
снижение	1	3	1	0	наблюдается	0	0	
ад	1	3	1	0	снижение	0	0	
связанное	1	3	1	0	снижение	0	0	
в	1	3	1	0	свойствами	0	0	
адреноблоеирующими	1	3	1	0	свойствами	0	0	
свойствами	1	3	1	0	связанное	0	0	
препарата	1	3	1	0	свойствами	0	0	
флюанксол	1	3	2	0	мог	мед	флюанксол	
в	1	3	2	0	дозировках	0	0	
низких	1	3	2	0	дозировках	0	0	
дозировках	1	3	2	0	флюанксол	0	0	
вероятно	1	3	2	0	мог	0	0	
мог	1	3	2	0	мог	0	0	
быть	1	3	2	0	благоприятнее	0	0	
благоприятнее	1	3	2	0	мог	0	0	
почему	1	4	0	0	надо	0	0	
же	1	4	0	0	надо	0	0	
надо	1	4	0	0	надо	0	0	
было	1	4	0	0	надо	0	0	
начинать	1	4	0	0	надо	0	0	
с	1	4	0	0	артиллерии	0	0	
тяжелой	1	4	0	0	артиллерии	0	0	
артиллерии	1	4	0	0	начинать	0	0	
сонапакс	1	4	0	0	начинать	мед	сонапакс	
с	1	4	0	0	компонентом	0	0	
тормозным	1	4	0	0	компонентом	0	0	
компонентом	1	4	0	0	сонапакс	0	0	
для	1	4	0	0	начала	0	0	
начала	1	4	0	0	начинать	0	0	
был	1	4	0	0	надо	0	0	
бы	1	4	0	0	надо	0	0	
неплох	1	4	0	0	неплох	0	0	
однозначно	1	5	0	0	хороший	0	0	
хороший	1	5	0	0	препарат	0	0	
препарат	1	5	0	0	препарат	0	сонапакс	
особенно	1	5	0	0	лечении	0	0	
при	1	5	0	0	лечении	0	0	
лечении	1	5	0	0	препарат	0	0	
параноидной	1	5	0	0	шизофрении	0	0	
шизофрении	1	5	0	0	лечении	0	0	
к	1	6	0	0	сожалению	0	0	
сожалению	1	6	0	0	впечатляет	0	0	
препарат	1	6	0	0	впечатляет	0	рисполепт	
не	1	6	0	0	впечатляет	0	0	
впечатляет	1	6	0	0	впечатляет	0	0	
на	1	6	1	0	нем	0	0	
нем	1	6	1	0	суициднула	0	0	
у	1	6	1	0	меня	0	0	
меня	1	6	1	0	суициднула	0	0	
одна	1	6	1	0	пациентка	0	0	
пациентка	1	6	1	0	суициднула	0	0	
суициднула	1	6	1	0	суициднула	0	0	
между	1	6	2	0	рисполептом	0	0	
рисполептом	1	6	2	0	отдаю	мед	рисполепт	
и	1	6	2	0	азалептином	0	0	
азалептином	1	6	2	0	рисполептом	мед	азалептин	
я	1	6	2	0	отдаю	0	0	
отдаю	1	6	2	0	отдаю	0	0	
преимущество	1	6	2	0	отдаю	0	0	
последнему	1	6	2	0	отдаю	0	азалептин	
поделюсь	1	7	0	0	поделюсь	0	0	
своими	1	7	0	0	впечатлениями	0	0	
впечатлениями	1	7	0	0	поделюсь	0	0	
при	1	7	0	0	расстройстве	0	0	
биполярном	1	7	0	0	расстройстве	0	0	
аффективном	1	7	0	0	расстройстве	0	0	
расстройстве	1	7	0	0	снимает	0	0	
препарат	1	7	0	0	снимает	0	рисполепт	
хорошо	1	7	0	0	снимает	0	0	
снимает	1	7	0	0	впечатлениями	0	0	
вязкость	1	7	0	0	снимает	0	0	
мыслей	1	7	0	0	вязкость	0	0	
препятствует	1	7	0	0	снимает	0	0	
образованию	1	7	0	0	препятствует	0	0	
бредовых	1	7	0	0	идей	0	0	
идей	1	7	0	0	образованию	0	0	
и	1	7	0	0	приводит	0	0	
как	1	7	0	0	странно	0	0	
ни	1	7	0	0	странно	0	0	
странно	1	7	0	0	приводит	0	0	
приводит	1	7	0	0	снимает	0	0	
к	1	7	0	0	засыпанию	0	0	
лучшему	1	7	0	0	засыпанию	0	0	
засыпанию	1	7	0	0	приводит	0	0	
но	1	7	1	0	основная	0	0	
основная	1	7	1	0	проблема	0	0	
проблема	1	7	1	0	влияние	0	0	
это	1	7	1	0	влияние	0	0	
его	1	7	1	0	влияние	0	рисполепт	
влияние	1	7	1	0	влияние	0	0	
на	1	7	1	0	повышение	0	0	
повышение	1	7	1	0	влияние	0	0	
пролактина	1	7	1	0	повышение	0	0	
и	1	7	1	0	образование	0	0	
образование	1	7	1	0	повышение	0	0	
пролактиномы	1	7	1	0	образование	0	0	
гипофиза	1	7	1	0	пролактиномы	0	0	
эта	1	7	2	0	проблема	0	0	
проблема	1	7	2	0	проявилась	0	0	
у	1	7	2	0	меня	0	0	
меня	1	7	2	0	проявилась	0	0	
проявилась	1	7	2	0	проявилась	0	0	
пришлось	1	7	3	0	пришлось	0	0	
принимать	1	7	3	0	пришлось	0	0	
бромкриптин	1	7	3	0	принимать	мед	бромкриптин	
пролактин	1	7	3	0	принимать	0	0	
в	1	7	3	0	норму	0	0	
норму	1	7	3	0	принимать	0	0	
вошёл	1	7	3	0	норму	0	0	
а	1	7	3	0	уменьшилась	0	0	
уменьшилась	1	7	3	0	пришлось	0	0	
ли	1	7	3	0	уменьшилась	0	0	
микроаденома	1	7	3	0	уменьшилась	0	0	
ещё	1	7	3	0	знаю	0	0	
не	1	7	3	0	знаю	0	0	
знаю	1	7	3	0	пришлось	0	0	
от	1	7	4	0	рисполепта	0	0	
рисполепта	1	7	4	0	отказалась	мед	рисполепт	
отказалась	1	7	4	0	отказалась	0	0	
на	1	7	4	0	страх	0	0	
свой	1	7	4	0	страх	0	0	
страх	1	7	4	0	отказалась	0	0	
и	1	7	4	0	риск	0	0	
риск	1	7	4	0	страх	0	0	
если	1	7	5	0	сталкивался	0	0	
кто	1	7	5	0	сталкивался	0	0	
то	1	7	5	0	сталкивался	0	0	
здесь	1	7	5	0	сталкивался	0	0	
сталкивался	1	7	5	0	сталкивался	0	0	
с	1	7	5	0	проблемами	0	0	
гормональными	1	7	5	0	проблемами	0	0	
проблемами	1	7	5	0	сталкивался	0	0	
поделитесь	1	7	5	0	сталкивался	0	0	
пожалуйста	1	7	5	0	опытом	0	0	
вашим	1	7	5	0	опытом	0	0	
опытом	1	7	5	0	сталкивался	0	0	
кто	1	8	0	0	применяет	0	0	
нибудь	1	8	0	0	применяет	0	0	
применяет	1	8	0	0	применяет	0	0	
дженерик	1	8	0	0	применяет	0	0	
торендо	1	8	0	0	дженерик	мед	торендо	
какие	1	8	1	0	наблюдения	0	0	
клинические	1	8	1	0	наблюдения	0	0	
наблюдения	1	8	1	0	есть	0	0	
есть	1	8	1	0	есть	0	0	
пробовали	1	9	0	0	пробовали	0	0	
знаем	1	9	0	0	пробовали	0	0	
лечили	1	9	1	0	лечили	0	0	
меня	1	9	1	0	лечили	0	0	
рисполептом	1	9	1	0	лечили	мед	рисполепт	
после	1	9	1	0	санопакса	0	0	
санопакса	1	9	1	0	лечили	мед	сонапакс	
и	1	9	1	0	паксила	0	0	
паксила	1	9	1	0	лечили	мед	паксил	
side	1	9	2	0	один	0	0	
effects	1	9	2	0	side	0	0	
один	1	9	2	0	один	0	0	
в	1	9	2	0	один	0	0	
один	1	9	2	0	один	0	0	
как	1	9	2	0	автора	0	0	
у	1	9	2	0	автора	0	0	
автора	1	9	2	0	один	0	0	
ветки	1	9	2	0	автора	0	0	
бросал	1	9	3	0	бросал	0	0	
потом	1	9	3	0	начинал	0	0	
начинал	1	9	3	0	бросал	0	0	
опять	1	9	3	0	выдержал	0	0	
не	1	9	3	0	выдержал	0	0	
выдержал	1	9	3	0	начинал	0	0	
в	1	9	3	0	итоге	0	0	
итоге	1	9	3	0	выдержал	0	0	
и	1	9	3	0	бросил	0	0	
бросил	1	9	3	0	бросал	0	0	
пить	1	9	3	0	бросил	0	0	
окончательно	1	9	3	0	пить	0	0	
тк	1	9	3	0	пить	0	0	
от	1	9	3	0	мыслей	0	0	
навязчивых	1	9	3	0	мыслей	0	0	
мыслей	1	9	3	0	пить	0	0	
он	1	9	3	0	избавил	мед	рисполепт	
не	1	9	3	0	избавил	0	0	
избавил	1	9	3	0	бросал	0	0	
а	1	9	3	0	отравил	0	0	
существование	1	9	3	0	отравил	0	0	
отравил	1	9	3	0	избавил	0	0	
еще	1	9	3	0	бросал	0	0	
как	1	9	3	0	бросал	0	0	
обсуждаем	2	0	0	0	обсуждаем	0	0	
препарат	2	0	0	0	обсуждаем	0	0	
зелдокс	2	0	0	0	препарат	мед	зелдокс	
зипрасидон	2	0	0	0	зелдокс	мед	зипрасидон	
специалисты	2	1	0	0	подскажите	0	0	
подскажите	2	1	0	0	подскажите	0	0	
пожалуйста	2	1	0	0	подскажите	0	0	
кто	2	1	0	0	принимал	0	0	
на	2	1	0	0	практике	0	0	
практике	2	1	0	0	принимал	0	0	
принимал	2	1	0	0	пожалуйста	0	0	
зелдокс?эффективный	2	1	0	0	он	мед	зелдокс	
ли	2	1	0	0	зелдокс?эффективный	0	0	
он	2	1	0	0	принимал	0	зелдокс	
для	2	1	0	0	борьбы	0	0	
борьбы	2	1	0	0	принимал	0	0	
с	2	1	0	0	позитивнами	0	0	
позитивнами	2	1	0	0	расстройствами	0	0	
расстройствами	2	1	0	0	борьбы	0	0	
как	2	1	1	0	переносится	0	0	
он	2	1	1	0	переносится	0	зелдокс	
переносится	2	1	1	0	переносится	0	0	
и	2	1	2	0	побочные	0	0	
какие	2	1	2	0	побочные	0	0	
основные	2	1	2	0	побочные	0	0	
побочные	2	1	2	0	побочные	0	0	
заранее	2	1	3	0	благодарю	0	0	
благодарю	2	1	3	0	благодарю	0	0	
здравствуйте	2	2	0	0	здравствуйте	0	0	
перепробовала	2	2	1	0	перепробовала	0	0	
ад	2	2	1	0	перепробовала	мед	ад	
усиление	2	2	1	0	ад	0	0	
симптоматики	2	2	1	0	усиление	0	0	
эглонил	2	2	1	0	ад	мед	эглонил	
хороший	2	2	1	0	эффект	0	0	
эффект	2	2	1	0	эглонил	0	0	
но	2	2	1	0	началась	0	0	
началась	2	2	1	0	перепробовала	0	0	
лактация	2	2	1	0	началась	0	0	
флюанксол	2	2	1	0	перепробовала	0	0	
ужасная	2	2	1	0	сонливость	0	0	
сонливость	2	2	1	0	флюанксол	0	0	
теперь	2	2	1	0	пью	0	0	
первый	2	2	1	0	день	0	0	
день	2	2	1	0	пью	0	0	
пью	2	2	1	0	перепробовала	0	0	
зелдокс	2	2	1	0	пью	мед	зелдокс	
тоже	2	2	2	0	ужасная	0	0	
ужасная	2	2	2	0	сонливость	0	0	
сонливость	2	2	2	0	сонливость	0	0	
прям	2	2	2	0	сонливость	0	0	
бессилие	2	2	2	0	прям	0	0	
просто	2	2	2	0	прям	0	0	
это	2	2	3	0	пройдет	0	0	
пройдет	2	2	3	0	пройдет	0	0	
предварительный	2	2	4	0	диагноз	0	0	
диагноз	2	2	4	0	невроз	0	0	
сильный	2	2	4	0	невроз	0	0	
невроз	2	2	4	0	невроз	0	0	
или	2	2	4	0	расстройство	0	0	
шизотипическое	2	2	4	0	расстройство	0	0	
расстройство	2	2	4	0	невроз	0	0	
астения	2	2	4	0	расстройство	0	0	
плохой	2	2	4	0	сон	0	0	
ночной	2	2	4	0	сон	0	0	
сон	2	2	4	0	астения	0	0	
с	2	2	4	0	кошмарами	0	0	
кошмарами	2	2	4	0	сон	0	0	
обеднение	2	2	4	0	астения	0	0	
эмоций	2	2	4	0	обеднение	0	0	
и	2	2	4	0	отсутствие	0	0	
отсутствие	2	2	4	0	астения	0	0	
энергии	2	2	4	0	отсутствие	0	0	
тевожность	2	2	4	0	астения	0	0	
помогите	2	2	5	0	помогите	0	0	
подскажите	2	2	5	0	помогите	0	0	
устала	2	2	6	0	устала	0	0	
пить	2	2	6	0	устала	0	0	
один	2	2	6	0	препарат	0	0	
препарат	2	2	6	0	пить	0	0	
за	2	2	6	0	другим	0	0	
другим	2	2	6	0	пить	0	0	
сонливость	2	2	7	0	нормально	0	0	
