TOKEN	TOPIC_NUM	POST_NUM	SENT_NUM	TOKEN_NUM	IS_ANSWER	HEAD	NER	COREFERENCE_CLUSTER	
общем	1	1	9	114	0	потоке	0	0	
потоке	1	1	9	115	0	невозможность	0	0	
сдать	1	1	9	116	0	невозможность	0	0	
экзамены	1	1	9	117	0	сдать	0	0	
обратились	1	1	10	118	0	обратились	0	0	
к	1	1	10	119	0	врачу	0	0	
врачу	1	1	10	120	0	обратились	0	0	
со	1	1	11	121	0	родителей	0	0	
стороны	1	1	11	122	0	со	0	0	
родителей	1	1	11	123	0	делалось	0	0	
это	1	1	11	124	0	делалось	0	0	
делалось	1	1	11	125	0	делалось	0	0	
с	1	1	11	126	0	неохотой	0	0	
большой	1	1	11	127	0	неохотой	0	0	
неохотой	1	1	11	128	0	делалось	0	0	
от	1	1	12	129	0	чего	0	0	
чего	1	1	12	130	0	лечат	0	0	
меня	1	1	12	131	0	лечат	0	0	
лечат	1	1	12	132	0	лечат	0	0	
не	1	1	12	133	0	уточнили	0	0	
уточнили	1	1	12	134	0	лечат	0	0	
после	1	1	13	135	0	пары	0	0	
пары	1	1	13	136	0	назначили	0	0	
вводных	1	1	13	137	0	бесед	0	0	
бесед	1	1	13	138	0	пары	0	0	
назначили	1	1	13	139	0	назначили	0	0	
небольшую	1	1	13	140	0	дозировку	0	0	
дозировку	1	1	13	141	0	назначили	0	0	
рисполепта	1	1	13	142	0	дозировку	1	142	
сказали	1	1	13	143	0	рисполепта	0	0	
для	1	1	13	144	0	начала	0	0	
начала	1	1	13	145	0	сказали	0	0	
принимаю	1	1	14	146	0	принимаю	0	0	
несколько	1	1	14	147	0	дней	0	0	
дней	1	1	14	148	0	принимаю	0	0	
меня	1	1	15	149	0	предупреждали	0	0	
конечно	1	1	15	150	0	предупреждали	0	0	
предупреждали	1	1	15	151	0	предупреждали	0	0	
что	1	1	15	152	0	появится	0	0	
появится	1	1	15	153	0	предупреждали	0	0	
заторможенность	1	1	15	154	0	появится	0	0	
рассеянность	1	1	15	155	0	заторможенность	0	0	
возможно	1	1	15	156	0	придётся	0	0	
придётся	1	1	15	157	0	появится	0	0	
больше	1	1	15	158	0	спать	0	0	
спать	1	1	15	159	0	придётся	0	0	
результат	1	1	16	160	0	превзошёл	0	0	
превзошёл	1	1	16	161	0	превзошёл	0	0	
ожидания	1	1	16	162	0	превзошёл	0	0	
ужасно	1	1	16	163	0	кружится	0	0	
кружится	1	1	16	164	0	превзошёл	0	0	
голова	1	1	16	165	0	кружится	0	0	
руки	1	1	16	166	0	трясутся	0	0	
трясутся	1	1	16	167	0	кружится	0	0	
ноги	1	1	16	168	0	слушаются	0	0	
не	1	1	16	169	0	слушаются	0	0	
слушаются	1	1	16	170	0	кружится	0	0	
боюсь	1	1	17	171	0	боюсь	0	0	
пройти	1	1	17	172	0	боюсь	0	0	
по	1	1	17	173	0	квартире	0	0	
квартире	1	1	17	174	0	пройти	0	0	
брать	1	1	17	175	0	пройти	0	0	
в	1	1	17	176	0	руки	0	0	
руки	1	1	17	177	0	брать	0	0	
вещи	1	1	17	178	0	брать	0	0	
чтобы	1	1	17	179	0	сломать	0	0	
ничего	1	1	17	180	0	сломать	0	0	
не	1	1	17	181	0	сломать	0	0	
сломать	1	1	17	182	0	брать	0	0	
инцеденты	1	1	17	183	0	были	0	0	
уже	1	1	17	184	0	были	0	0	
были	1	1	17	185	0	боюсь	0	0	
рассеянность	1	1	18	186	0	ухитрилась	0	0	
ухитрилась	1	1	18	187	0	ухитрилась	0	0	
заблудиться	1	1	18	188	0	ухитрилась	0	0	
возле	1	1	18	189	0	дома	0	0	
собственного	1	1	18	190	0	дома	0	0	
дома	1	1	18	191	0	заблудиться	0	0	
врач	1	1	19	192	0	велела	0	0	
велела	1	1	19	193	0	велела	0	0	
больше	1	1	19	194	0	спать	0	0	
спать	1	1	19	195	0	велела	0	0	
но	1	1	20	196	0	сплю	0	0	
я	1	1	20	197	0	сплю	0	0	
сплю	1	1	20	198	0	сплю	0	0	
как	1	1	20	199	0	обычно	0	0	
обычно	1	1	20	200	0	сплю	0	0	
и	1	1	20	201	0	часом	0	0	
не	1	1	20	202	0	часом	0	0	
часом	1	1	20	203	0	обычно	0	0	
больше	1	1	20	204	0	сплю	0	0	
ждать	1	1	21	205	0	ждать	0	0	
ли	1	1	21	206	0	ждать	0	0	
мне	1	1	21	207	0	ждать	0	0	
положительных	1	1	21	208	0	результатов	0	0	
результатов	1	1	21	209	0	ждать	0	0	
или	1	1	21	210	0	дура	0	0	
я	1	1	21	211	0	дура	0	0	
просто	1	1	21	212	0	дура	0	0	
дура	1	1	21	213	0	ждать	0	0	
что	1	1	21	214	0	подсела	0	0	
подсела	1	1	21	215	0	ждать	0	0	
на	1	1	21	216	0	таблетки	0	0	
таблетки	1	1	21	217	0	подсела	2	0	
так	1	1	21	218	0	говорят	0	0	
говорят	1	1	21	219	0	таблетки	0	0	
все	1	1	21	220	0	родственники	0	0	
родственники	1	1	21	221	0	говорят	0	0	
прошу	1	1	22	222	0	прошу	0	0	
прощения	1	1	22	223	0	прошу	0	0	
за	1	1	22	224	0	рассказ	0	0	
такой	1	1	22	225	0	рассказ	0	0	
пространный	1	1	22	226	0	рассказ	0	0	
рассказ	1	1	22	227	0	прощения	0	0	
о	1	1	22	228	0	жизни	0	0	
жизни	1	1	22	229	0	рассказ	0	0	
впервые	1	1	23	230	0	решила	0	0	
решила	1	1	23	231	0	решила	0	0	
воспользоваться	1	1	23	232	0	решила	0	0	
форумом	1	1	23	233	0	воспользоваться	0	0	
ещё	1	1	23	234	0	нет	0	0	
нет	1	1	23	235	0	решила	0	0	
опыта	1	1	23	236	0	нет	0	0	
люди	1	1	24	237	0	люди	0	0	
если	1	1	25	238	0	беспокою	0	0	
даже	1	1	25	239	0	я	0	0	
я	1	1	25	240	0	беспокою	0	0	
беспокою	1	1	25	241	0	беспокою	0	0	
вас	1	1	25	242	0	беспокою	0	0	
впустую	1	1	25	243	0	беспокою	0	0	
если	1	1	26	244	0	неравнодушный	0	0	
кто	1	1	26	245	0	неравнодушный	0	0	
нибудь	1	1	26	246	0	есть	0	0	
есть	1	1	26	247	0	неравнодушный	0	0	
неравнодушный	1	1	26	248	0	будет	0	0	
будет	1	1	26	249	0	время	0	0	
время	1	1	26	250	0	время	0	0	
посоветуйте	1	1	26	251	0	время	0	0	
как	1	1	26	252	0	реагировать	0	0	
мне	1	1	26	253	0	реагировать	0	0	
реагировать	1	1	26	254	0	посоветуйте	0	0	
на	1	1	26	255	0	происходящее	0	0	
происходящее	1	1	26	256	0	реагировать	0	0	
что	1	1	26	257	0	можно	0	0	
можно	1	1	26	258	0	время	0	0	
почитать	1	1	26	259	0	можно	0	0	
на	1	1	26	260	0	тему	0	0	
эту	1	1	26	261	0	тему	0	0	
тему	1	1	26	262	0	почитать	0	0	
может	1	1	27	263	0	выбрала	0	0	
я	1	1	27	264	0	выбрала	0	0	
выбрала	1	1	27	265	0	выбрала	0	0	
не	1	1	27	266	0	ту	0	0	
ту	1	1	27	267	0	тему	0	0	
тему	1	1	27	268	0	выбрала	0	0	
чтобы	1	1	27	269	0	писать	0	0	
писать	1	1	27	270	0	выбрала	0	0	
в	1	1	27	271	0	форум	0	0	
форум	1	1	27	272	0	писать	0	0	
и	1	1	28	273	0	прошу	0	0	
снова	1	1	28	274	0	прошу	0	0	
прошу	1	1	28	275	0	прошу	0	0	
прощения	1	1	28	276	0	прошу	0	0	
если	1	1	28	277	0	возможно	0	0	
таковое	1	1	28	278	0	возможно	0	0	
возможно	1	1	28	279	0	прошу	0	0	
надо	1	2	0	280	1	надо	0	0	
подумать	1	2	0	281	1	надо	0	0	
сказал(а	1	2	0	282	1	подумать	0	0	
ждать	1	2	0	283	1	ждать	0	0	
ли	1	2	0	284	1	ждать	0	0	
мне	1	2	0	285	1	ждать	0	0	
положительных	1	2	0	286	1	результатов	0	0	
результатов	1	2	0	287	1	ждать	0	0	
или	1	2	0	288	1	дура	0	0	
я	1	2	0	289	1	дура	0	0	
просто	1	2	0	290	1	дура	0	0	
дура	1	2	0	291	1	ждать	0	0	
что	1	2	0	292	1	подсела	0	0	
подсела	1	2	0	293	1	ждать	0	0	
на	1	2	0	294	1	таблетки	0	0	
таблетки	1	2	0	295	1	подсела	2	0	
так	1	2	0	296	1	говорят	0	0	
говорят	1	2	0	297	1	таблетки	0	0	
все	1	2	0	298	1	родственники	0	0	
родственники	1	2	0	299	1	говорят	0	0	
исходя	1	2	1	300	1	серьезные	0	0	
из	1	2	1	301	1	написанного	0	0	
написанного	1	2	1	302	1	исходя	0	0	
вами	1	2	1	303	1	написанного	0	0	
проблемы	1	2	1	304	1	серьезные	0	0	
все	1	2	1	305	1	достаточно	0	0	
таки	1	2	1	306	1	достаточно	0	0	
достаточно	1	2	1	307	1	серьезные	0	0	
серьезные	1	2	1	308	1	серьезные	0	0	
и	1	2	1	309	1	требуют	0	0	
видимо	1	2	1	310	1	требуют	0	0	
требуют	1	2	1	311	1	серьезные	0	0	
именно	1	2	1	312	1	психофармакотерапии	0	0	
психофармакотерапии	1	2	1	313	1	требуют	0	0	
так	1	2	2	314	1	нужны	0	0	
что	1	2	2	315	1	так	0	0	
таблетки	1	2	2	316	1	нужны	0	0	
нужны	1	2	2	317	1	нужны	0	0	
но	1	2	3	318	1	какие	0	0	
вот	1	2	3	319	1	какие	0	0	
какие	1	2	3	320	1	должен	0	0	
именно	1	2	3	321	1	какие	0	0	
подбирать	1	2	3	322	1	какие	0	0	
дозу	1	2	3	323	1	подбирать	0	0	
учитывать	1	2	3	324	1	какие	0	0	
побочные	1	2	3	325	1	эффекты	0	0	
эффекты	1	2	3	326	1	учитывать	0	0	
это	1	2	3	327	1	должен	0	0	
все	1	2	3	328	1	это	0	0	
должен	1	2	3	329	1	должен	0	0	
делать	1	2	3	330	1	должен	0	0	
лечащий	1	2	3	331	1	врач	0	0	
врач	1	2	3	332	1	делать	0	0	
в	1	2	4	333	1	принципе	0	0	
принципе	1	2	4	334	1	могут	0	0	
те	1	2	4	335	1	эффекты	0	0	
эффекты	1	2	4	336	1	могут	0	0	
которые	1	2	4	337	1	описали	0	0	
вы	1	2	4	338	1	описали	0	0	
описали	1	2	4	339	1	эффекты	0	0	
могут	1	2	4	340	1	могут	0	0	
быть	1	2	4	341	1	приеме	0	0	
при	1	2	4	342	1	приеме	0	0	
приеме	1	2	4	343	1	могут	0	0	
рисполепта	1	2	4	344	1	приеме	1	344	
эти	1	2	5	345	1	эффекты	0	0	
побочные	1	2	5	346	1	эффекты	0	0	
эффекты	1	2	5	347	1	могут	0	0	
могут	1	2	5	348	1	могут	0	0	
проходить	1	2	5	349	1	могут	0	0	
через	1	2	5	350	1	дней	0	0	
несколько	1	2	5	351	1	дней	0	0	
дней	1	2	5	352	1	проходить	0	0	
после	1	2	5	353	1	начала	0	0	
начала	1	2	5	354	1	дней	0	0	
лечения	1	2	5	355	1	начала	0	0	
могут	1	2	5	356	1	могут	0	0	
требовать	1	2	5	357	1	могут	0	0	
коррекции	1	2	5	358	1	требовать	0	0	
дозы	1	2	5	359	1	коррекции	0	0	
назначение	1	2	5	360	1	коррекции	0	0	
корректоров	1	2	5	361	1	назначение	0	0	
нейролептической	1	2	5	362	1	терапии	0	0	
терапии	1	2	5	363	1	корректоров	0	0	
или	1	2	5	364	1	смены	0	0	
смены	1	2	5	365	1	терапии	0	0	
препарата	1	2	5	366	1	смены	2	344	
p.s	1	2	6	367	1	p.s	0	0	
напишите	1	2	7	368	1	напишите	0	0	
пожалуйста	1	2	7	369	1	напишите	0	0	
как	1	2	7	370	1	чувствуете	0	0	
себя	1	2	7	371	1	чувствуете	0	0	
чувствуете	1	2	7	372	1	пожалуйста	0	0	
сейчас	1	2	7	373	1	чувствуете	0	0	
есть	1	2	8	374	1	есть	0	0	
какие	1	2	8	375	1	изменения	0	0	
то	1	2	8	376	1	изменения	0	0	
изменения	1	2	8	377	1	есть	0	0	
а	1	3	0	378	0	назначили	0	0	
почему	1	3	0	379	0	назначили	0	0	
именно	1	3	0	380	0	почему	0	0	
назначили	1	3	0	381	0	назначили	0	0	
рисперидон	1	3	0	382	0	назначили	1	382	
у	1	3	1	383	0	вас	0	0	
вас	1	3	1	384	0	наблюдается	0	0	
вероятно	1	3	1	385	0	наблюдается	0	0	
наблюдается	1	3	1	386	0	наблюдается	0	0	
снижение	1	3	1	387	0	наблюдается	0	0	
ад	1	3	1	388	0	снижение	0	0	
связанное	1	3	1	389	0	снижение	0	0	
в	1	3	1	390	0	свойствами	0	0	
адреноблоеирующими	1	3	1	391	0	свойствами	0	0	
свойствами	1	3	1	392	0	связанное	0	0	
препарата	1	3	1	393	0	свойствами	1	382	
флюанксол	1	3	2	394	0	мог	1	394	
в	1	3	2	395	0	дозировках	0	0	
низких	1	3	2	396	0	дозировках	0	0	
дозировках	1	3	2	397	0	флюанксол	0	0	
вероятно	1	3	2	398	0	мог	0	0	
мог	1	3	2	399	0	мог	0	0	
быть	1	3	2	400	0	благоприятнее	0	0	
благоприятнее	1	3	2	401	0	мог	0	0	
почему	1	4	0	402	0	надо	0	0	
же	1	4	0	403	0	надо	0	0	
надо	1	4	0	404	0	надо	0	0	
было	1	4	0	405	0	надо	0	0	
начинать	1	4	0	406	0	надо	0	0	
с	1	4	0	407	0	артиллерии	0	0	
тяжелой	1	4	0	408	0	артиллерии	0	0	
артиллерии	1	4	0	409	0	начинать	0	0	
сонапакс	1	4	0	410	0	начинать	1	410	
с	1	4	0	411	0	компонентом	0	0	
тормозным	1	4	0	412	0	компонентом	0	0	
компонентом	1	4	0	413	0	сонапакс	0	0	
для	1	4	0	414	0	начала	0	0	
начала	1	4	0	415	0	начинать	0	0	
был	1	4	0	416	0	надо	0	0	
бы	1	4	0	417	0	надо	0	0	
неплох	1	4	0	418	0	неплох	0	0	
однозначно	1	5	0	419	0	хороший	0	0	
хороший	1	5	0	420	0	препарат	0	0	
препарат	1	5	0	421	0	препарат	2	2	
особенно	1	5	0	422	0	лечении	0	0	
при	1	5	0	423	0	лечении	0	0	
лечении	1	5	0	424	0	препарат	0	0	
параноидной	1	5	0	425	0	шизофрении	0	0	
шизофрении	1	5	0	426	0	лечении	0	0	
к	1	6	0	427	0	сожалению	0	0	
сожалению	1	6	0	428	0	впечатляет	0	0	
препарат	1	6	0	429	0	впечатляет	2	2	
не	1	6	0	430	0	впечатляет	0	0	
впечатляет	1	6	0	431	0	впечатляет	0	0	
на	1	6	1	432	0	нем	0	0	
нем	1	6	1	433	0	суициднула	0	0	
у	1	6	1	434	0	меня	0	0	
меня	1	6	1	435	0	суициднула	0	0	
одна	1	6	1	436	0	пациентка	0	0	
пациентка	1	6	1	437	0	суициднула	0	0	
суициднула	1	6	1	438	0	суициднула	0	0	
между	1	6	2	439	0	рисполептом	0	0	
рисполептом	1	6	2	440	0	отдаю	1	440	
и	1	6	2	441	0	азалептином	0	0	
азалептином	1	6	2	442	0	рисполептом	1	442	
я	1	6	2	443	0	отдаю	0	0	
отдаю	1	6	2	444	0	отдаю	0	0	
преимущество	1	6	2	445	0	отдаю	0	0	
последнему	1	6	2	446	0	отдаю	2	442	
поделюсь	1	7	0	447	0	поделюсь	0	0	
своими	1	7	0	448	0	впечатлениями	0	0	
впечатлениями	1	7	0	449	0	поделюсь	0	0	
при	1	7	0	450	0	расстройстве	0	0	
биполярном	1	7	0	451	0	расстройстве	0	0	
аффективном	1	7	0	452	0	расстройстве	0	0	
расстройстве	1	7	0	453	0	снимает	0	0	
препарат	1	7	0	454	0	снимает	2	2	
хорошо	1	7	0	455	0	снимает	0	0	
снимает	1	7	0	456	0	впечатлениями	0	0	
вязкость	1	7	0	457	0	снимает	0	0	
мыслей	1	7	0	458	0	вязкость	0	0	
препятствует	1	7	0	459	0	снимает	0	0	
образованию	1	7	0	460	0	препятствует	0	0	
бредовых	1	7	0	461	0	идей	0	0	
идей	1	7	0	462	0	образованию	0	0	
и	1	7	0	463	0	приводит	0	0	
как	1	7	0	464	0	странно	0	0	
ни	1	7	0	465	0	странно	0	0	
странно	1	7	0	466	0	приводит	0	0	
приводит	1	7	0	467	0	снимает	0	0	
к	1	7	0	468	0	засыпанию	0	0	
лучшему	1	7	0	469	0	засыпанию	0	0	
засыпанию	1	7	0	470	0	приводит	0	0	
но	1	7	1	471	0	основная	0	0	
основная	1	7	1	472	0	проблема	0	0	
проблема	1	7	1	473	0	влияние	0	0	
это	1	7	1	474	0	влияние	0	0	
его	1	7	1	475	0	влияние	3	2	
влияние	1	7	1	476	0	влияние	0	0	
на	1	7	1	477	0	повышение	0	0	
повышение	1	7	1	478	0	влияние	0	0	
пролактина	1	7	1	479	0	повышение	0	0	
и	1	7	1	480	0	образование	0	0	
образование	1	7	1	481	0	повышение	0	0	
пролактиномы	1	7	1	482	0	образование	0	0	
гипофиза	1	7	1	483	0	пролактиномы	0	0	
эта	1	7	2	484	0	проблема	0	0	
проблема	1	7	2	485	0	проявилась	0	0	
у	1	7	2	486	0	меня	0	0	
меня	1	7	2	487	0	проявилась	0	0	
проявилась	1	7	2	488	0	проявилась	0	0	
пришлось	1	7	3	489	0	пришлось	0	0	
принимать	1	7	3	490	0	пришлось	0	0	
бромкриптин	1	7	3	491	0	принимать	0	0	
пролактин	1	7	3	492	0	принимать	0	0	
в	1	7	3	493	0	норму	0	0	
норму	1	7	3	494	0	принимать	0	0	
вошёл	1	7	3	495	0	норму	0	0	
а	1	7	3	496	0	уменьшилась	0	0	
уменьшилась	1	7	3	497	0	пришлось	0	0	
ли	1	7	3	498	0	уменьшилась	0	0	
микроаденома	1	7	3	499	0	уменьшилась	0	0	
ещё	1	7	3	500	0	знаю	0	0	
не	1	7	3	501	0	знаю	0	0	
знаю	1	7	3	502	0	пришлось	0	0	
от	1	7	4	503	0	рисполепта	0	0	
рисполепта	1	7	4	504	0	отказалась	1	504	
отказалась	1	7	4	505	0	отказалась	0	0	
на	1	7	4	506	0	страх	0	0	
свой	1	7	4	507	0	страх	0	0	
страх	1	7	4	508	0	отказалась	0	0	
и	1	7	4	509	0	риск	0	0	
риск	1	7	4	510	0	страх	0	0	
если	1	7	5	511	0	сталкивался	0	0	
кто	1	7	5	512	0	сталкивался	0	0	
то	1	7	5	513	0	сталкивался	0	0	
здесь	1	7	5	514	0	сталкивался	0	0	
сталкивался	1	7	5	515	0	сталкивался	0	0	
с	1	7	5	516	0	проблемами	0	0	
гормональными	1	7	5	517	0	проблемами	0	0	
проблемами	1	7	5	518	0	сталкивался	0	0	
поделитесь	1	7	5	519	0	сталкивался	0	0	
пожалуйста	1	7	5	520	0	опытом	0	0	
вашим	1	7	5	521	0	опытом	0	0	
опытом	1	7	5	522	0	сталкивался	0	0	
кто	1	8	0	523	0	применяет	0	0	
нибудь	1	8	0	524	0	применяет	0	0	
применяет	1	8	0	525	0	применяет	0	0	
дженерик	1	8	0	526	0	применяет	0	0	
торендо	1	8	0	527	0	дженерик	1	527	
какие	1	8	1	528	0	наблюдения	0	0	
клинические	1	8	1	529	0	наблюдения	0	0	
наблюдения	1	8	1	530	0	есть	0	0	
есть	1	8	1	531	0	есть	0	0	
пробовали	1	9	0	532	0	пробовали	0	0	
знаем	1	9	0	533	0	пробовали	0	0	
лечили	1	9	1	534	0	лечили	0	0	
меня	1	9	1	535	0	лечили	0	0	
рисполептом	1	9	1	536	0	лечили	1	536	
после	1	9	1	537	0	санопакса	0	0	
санопакса	1	9	1	538	0	лечили	1	538	
и	1	9	1	539	0	паксила	0	0	
паксила	1	9	1	540	0	лечили	1	540	
side	1	9	2	541	0	один	0	0	
effects	1	9	2	542	0	side	0	0	
один	1	9	2	543	0	один	0	0	
в	1	9	2	544	0	один	0	0	
один	1	9	2	545	0	один	0	0	
как	1	9	2	546	0	автора	0	0	
у	1	9	2	547	0	автора	0	0	
автора	1	9	2	548	0	один	0	0	
ветки	1	9	2	549	0	автора	0	0	
бросал	1	9	3	550	0	бросал	0	0	
потом	1	9	3	551	0	начинал	0	0	
начинал	1	9	3	552	0	бросал	0	0	
опять	1	9	3	553	0	выдержал	0	0	
не	1	9	3	554	0	выдержал	0	0	
выдержал	1	9	3	555	0	начинал	0	0	
в	1	9	3	556	0	итоге	0	0	
итоге	1	9	3	557	0	выдержал	0	0	
и	1	9	3	558	0	бросил	0	0	
бросил	1	9	3	559	0	бросал	0	0	
пить	1	9	3	560	0	бросил	0	0	
окончательно	1	9	3	561	0	пить	0	0	
тк	1	9	3	562	0	пить	0	0	
от	1	9	3	563	0	мыслей	0	0	
навязчивых	1	9	3	564	0	мыслей	0	0	
мыслей	1	9	3	565	0	пить	0	0	
он	1	9	3	566	0	избавил	3	536	
не	1	9	3	567	0	избавил	0	0	
избавил	1	9	3	568	0	бросал	0	0	
а	1	9	3	569	0	отравил	0	0	
существование	1	9	3	570	0	отравил	0	0	
отравил	1	9	3	571	0	избавил	0	0	
еще	1	9	3	572	0	бросал	0	0	
как	1	9	3	573	0	бросал	0	0	
обсуждаем	2	0	0	0	0	обсуждаем	0	0	
препарат	2	0	0	1	0	обсуждаем	2	0	
зелдокс	2	0	0	2	0	препарат	1	2	
зипрасидон	2	0	0	3	0	зелдокс	1	3	
специалисты	2	1	0	4	0	подскажите	0	0	
подскажите	2	1	0	5	0	подскажите	0	0	
пожалуйста	2	1	0	6	0	подскажите	0	0	
кто	2	1	0	7	0	принимал	0	0	
на	2	1	0	8	0	практике	0	0	
практике	2	1	0	9	0	принимал	0	0	
принимал	2	1	0	10	0	пожалуйста	0	0	
зелдокс?эффективный	2	1	0	11	0	он	1	11	
ли	2	1	0	12	0	зелдокс?эффективный	0	0	
он	2	1	0	13	0	принимал	3	11	
для	2	1	0	14	0	борьбы	0	0	
борьбы	2	1	0	15	0	принимал	0	0	
с	2	1	0	16	0	позитивнами	0	0	
позитивнами	2	1	0	17	0	расстройствами	0	0	
расстройствами	2	1	0	18	0	борьбы	0	0	
как	2	1	1	19	0	переносится	0	0	
он	2	1	1	20	0	переносится	3	11	
переносится	2	1	1	21	0	переносится	0	0	
и	2	1	2	22	0	побочные	0	0	
какие	2	1	2	23	0	побочные	0	0	
основные	2	1	2	24	0	побочные	0	0	
побочные	2	1	2	25	0	побочные	0	0	
заранее	2	1	3	26	0	благодарю	0	0	
благодарю	2	1	3	27	0	благодарю	0	0	
здравствуйте	2	2	0	28	0	здравствуйте	0	0	
перепробовала	2	2	1	29	0	перепробовала	0	0	
ад	2	2	1	30	0	перепробовала	1	30	
