TOKEN	IS_ANSWER	TOPIC_NUM	POST_NUM	SENT_NUM	TOKEN_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	NER	COREFERENCE_CLUSTER	NUMBER
продолжаться	0	1	1	4	53					INFN	xcomp	может				VERB	0	0	
от	0	1	1	4	54					PREP	case	мгновений	inan	gent	neut	NOUN	0	0	
нескольких	0	1	1	4	55		gent			NUMR	nummod	мгновений	inan	gent	neut	NOUN	0	0	
мгновений	0	1	1	4	56	inan	gent	neut		NOUN	obl	продолжаться				INFN	0	0	plur
до	0	1	1	4	57					PREP	case	суток	inan	gent		NOUN	0	0	
нескольких	0	1	1	4	58		gent			NUMR	nummod	суток	inan	gent		NOUN	0	0	
суток	0	1	1	4	59	inan	gent			NOUN	obl	продолжаться				INFN	0	0	plur
как	0	1	1	5	60					CONJ	advmod	удавалось			neut	VERB	0	0	
то	0	1	1	5	61					CONJ	advmod	удавалось			neut	VERB	0	0	
удавалось	0	1	1	5	62			neut		VERB	ROOT	удавалось			neut	VERB	0	0	sing
жить	0	1	1	5	63					INFN	csubj	удавалось			neut	VERB	0	0	
и	0	1	1	5	64					CONJ	cc	мириться				INFN	0	0	
с	0	1	1	5	65					PREP	case	этим		ablt	neut	NPRO	0	0	
этим	0	1	1	5	66		ablt	neut		NPRO	obl	мириться				INFN	0	0	sing
мириться	0	1	1	5	67					INFN	conj	жить				INFN	0	0	
каждый	0	1	1	6	68	inan	accs	masc		ADJF	det	раз	inan	gent	masc	NOUN	0	0	sing
раз	0	1	1	6	69	inan	gent	masc		NOUN	obl	вынуждена			femn	PRTS	0	0	plur
придя	0	1	1	6	70					GRND	advcl	вынуждена			femn	PRTS	0	0	
в	0	1	1	6	71					PREP	case	себя		accs		NPRO	0	0	
себя	0	1	1	6	72		accs			NPRO	obl	придя				GRND	0	0	sing
вынуждена	0	1	1	6	73			femn		PRTS	ROOT	вынуждена			femn	PRTS	0	0	sing
придумывать	0	1	1	6	74					INFN	xcomp	вынуждена			femn	PRTS	0	0	
для	0	1	1	6	75					PREP	case	окружающих		gent		ADJF	0	0	
окружающих	0	1	1	6	76		gent			ADJF	obl	придумывать				INFN	0	0	plur
более	0	1	1	6	77					ADVB	advmod	правдоподобное		nomn	neut	ADJF	0	0	
или	0	1	1	6	78					CONJ	cc	менее				ADVB	0	0	
менее	0	1	1	6	79					ADVB	conj	более				ADVB	0	0	
правдоподобное	0	1	1	6	80		nomn	neut		ADJF	amod	оправдание	inan	nomn	neut	NOUN	0	0	sing
оправдание	0	1	1	6	81	inan	nomn	neut		NOUN	obj	придумывать				INFN	0	0	sing
своим	0	1	1	6	82		datv			ADJF	det	поступкам	inan	datv	masc	NOUN	0	0	plur
поступкам	0	1	1	6	83	inan	datv	masc		NOUN	iobj	придумывать				INFN	0	0	plur
чувствую	0	1	1	7	84				1per	VERB	ROOT	чувствую				VERB	0	0	sing
себя	0	1	1	7	85		accs			NPRO	obj	чувствую				VERB	0	0	sing
сторонним	0	1	1	7	86		ablt	masc		ADJF	amod	наблюдателем	anim	ablt	masc	NOUN	0	0	sing
наблюдателем	0	1	1	7	87	anim	ablt	masc		NOUN	xcomp	чувствую				VERB	0	0	sing
собственной	0	1	1	7	88		gent	femn		ADJF	amod	жизни	inan	gent	femn	NOUN	0	0	sing
жизни	0	1	1	7	89	inan	gent	femn		NOUN	nmod	наблюдателем	anim	ablt	masc	NOUN	0	0	sing
в	0	1	1	8	90					PREP	case	момент	inan	accs	masc	NOUN	0	0	
определённый	0	1	1	8	91		nomn	masc		ADJF	amod	момент	inan	accs	masc	NOUN	0	0	sing
момент	0	1	1	8	92	inan	accs	masc		NOUN	obl	стали				VERB	0	0	sing
страхи	0	1	1	8	93	inan	nomn	masc		NOUN	nsubj	стали				VERB	0	0	plur
стали	0	1	1	8	94					VERB	ROOT	стали				VERB	0	0	plur
в	0	1	1	8	95					PREP	case	основном	inan	loct	neut	NOUN	0	0	
основном	0	1	1	8	96	inan	loct	neut		NOUN	obl	связаны				PRTS	0	0	sing
связаны	0	1	1	8	97					PRTS	xcomp	стали				VERB	0	0	plur
с	0	1	1	8	98					PREP	case	учёбой	inan	ablt	femn	NOUN	0	0	
учёбой	0	1	1	8	99	inan	ablt	femn		NOUN	obl	связаны				PRTS	0	0	sing
а	0	1	1	8	100					CONJ	cc	общением	inan	ablt	neut	NOUN	0	0	
ещё	0	1	1	8	101					ADVB	advmod	общением	inan	ablt	neut	NOUN	0	0	
с	0	1	1	8	102					PREP	case	общением	inan	ablt	neut	NOUN	0	0	
общением	0	1	1	8	103	inan	ablt	neut		NOUN	parataxis	учёбой	inan	ablt	femn	NOUN	0	0	sing
на	0	1	1	9	104					PREP	case	курсе	inan	loct	masc	NOUN	0	0	
последнем	0	1	1	9	105		loct	masc		ADJF	amod	курсе	inan	loct	masc	NOUN	0	0	sing
курсе	0	1	1	9	106	inan	loct	masc		NOUN	obl	вылилось			neut	VERB	0	0	sing
училища	0	1	1	9	107	inan	gent	neut		NOUN	nmod	курсе	inan	loct	masc	NOUN	0	0	sing
всё	0	1	1	9	108					PRCL	det	это				PRCL	0	0	
это	0	1	1	9	109					PRCL	nsubj	вылилось			neut	VERB	0	0	
вылилось	0	1	1	9	110			neut		VERB	ROOT	вылилось			neut	VERB	0	0	sing
в	0	1	1	9	111					PREP	case	невозможность	inan	nomn	femn	NOUN	0	0	
невозможность	0	1	1	9	112	inan	nomn	femn		NOUN	obl	вылилось			neut	VERB	0	0	sing
в	0	1	1	9	113					PREP	case	потоке	inan	loct	masc	NOUN	0	0	
общем	0	1	1	9	114		loct	neut		ADJF	amod	потоке	inan	loct	masc	NOUN	0	0	sing
потоке	0	1	1	9	115	inan	loct	masc		NOUN	nmod	невозможность	inan	nomn	femn	NOUN	0	0	sing
сдать	0	1	1	9	116					INFN	nmod	невозможность	inan	nomn	femn	NOUN	0	0	
экзамены	0	1	1	9	117	inan	accs	masc		NOUN	obj	сдать				INFN	0	0	plur
обратились	0	1	1	10	118					VERB	ROOT	обратились				VERB	0	0	plur
к	0	1	1	10	119					PREP	case	врачу	anim	datv	masc	NOUN	0	0	
врачу	0	1	1	10	120	anim	datv	masc		NOUN	obl	обратились				VERB	0	0	sing
со	0	1	1	11	121					PREP	case	родителей	anim	gent	masc	NOUN	0	0	
стороны	0	1	1	11	122	inan	gent	femn		NOUN	fixed	со				PREP	0	0	sing
родителей	0	1	1	11	123	anim	gent	masc		NOUN	obl	делалось			neut	VERB	0	0	plur
это	0	1	1	11	124					PRCL	nsubj:pass	делалось			neut	VERB	0	0	
делалось	0	1	1	11	125			neut		VERB	ROOT	делалось			neut	VERB	0	0	sing
с	0	1	1	11	126					PREP	case	неохотой	inan	ablt	femn	NOUN	0	0	
большой	0	1	1	11	127		ablt	femn		ADJF	amod	неохотой	inan	ablt	femn	NOUN	0	0	sing
неохотой	0	1	1	11	128	inan	ablt	femn		NOUN	obl	делалось			neut	VERB	0	0	sing
от	0	1	1	12	129					PREP	case	чего		gent	neut	NPRO	0	0	
чего	0	1	1	12	130		gent	neut		NPRO	obl	лечат				VERB	0	0	sing
меня	0	1	1	12	131		accs		1per	NPRO	obj	лечат				VERB	0	0	sing
лечат	0	1	1	12	132				3per	VERB	ROOT	лечат				VERB	0	0	plur
не	0	1	1	12	133					PRCL	advmod	уточнили				VERB	0	0	
уточнили	0	1	1	12	134					VERB	conj	лечат				VERB	0	0	plur
после	0	1	1	13	135					PREP	case	пары	inan	gent	femn	NOUN	0	0	
пары	0	1	1	13	136	inan	gent	femn		NOUN	obl	назначили				VERB	0	0	sing
вводных	0	1	1	13	137		gent			ADJF	amod	бесед	inan	gent	femn	NOUN	0	0	plur
бесед	0	1	1	13	138	inan	gent	femn		NOUN	nmod	пары	inan	gent	femn	NOUN	0	0	plur
назначили	0	1	1	13	139					VERB	ROOT	назначили				VERB	0	0	plur
небольшую	0	1	1	13	140		accs	femn		ADJF	amod	дозировку	inan	accs	femn	NOUN	0	0	sing
дозировку	0	1	1	13	141	inan	accs	femn		NOUN	obj	назначили				VERB	0	0	sing
рисполепта	0	1	1	13	142	inan	nomn	femn		NOUN	nmod	дозировку	inan	accs	femn	NOUN	1	142	sing
сказали	0	1	1	13	143					VERB	parataxis	рисполепта	inan	nomn	femn	NOUN	0	0	plur
для	0	1	1	13	144					PREP	case	начала	inan	gent	neut	NOUN	0	0	
начала	0	1	1	13	145	inan	gent	neut		NOUN	obl	сказали				VERB	0	0	sing
принимаю	0	1	1	14	146				1per	VERB	ROOT	принимаю				VERB	0	0	sing
несколько	0	1	1	14	147					ADVB	nummod:gov	дней	inan	gent	masc	NOUN	0	0	
дней	0	1	1	14	148	inan	gent	masc		NOUN	obj	принимаю				VERB	0	0	plur
меня	0	1	1	15	149		accs		1per	NPRO	obj	предупреждали				VERB	0	0	sing
конечно	0	1	1	15	150					CONJ	advmod	предупреждали				VERB	0	0	
предупреждали	0	1	1	15	151					VERB	ROOT	предупреждали				VERB	0	0	plur
что	0	1	1	15	152					CONJ	mark	появится				VERB	0	0	
появится	0	1	1	15	153				3per	VERB	ccomp	предупреждали				VERB	0	0	sing
заторможенность	0	1	1	15	154	inan	nomn	femn		NOUN	nsubj	появится				VERB	0	0	sing
рассеянность	0	1	1	15	155	inan	accs	femn		NOUN	conj	заторможенность	inan	nomn	femn	NOUN	0	0	sing
возможно	0	1	1	15	156					CONJ	advmod	придётся				VERB	0	0	
придётся	0	1	1	15	157				3per	VERB	conj	появится				VERB	0	0	sing
больше	0	1	1	15	158					COMP	advmod	спать				INFN	0	0	
спать	0	1	1	15	159					INFN	xcomp	придётся				VERB	0	0	
результат	0	1	1	16	160	inan	nomn	masc		NOUN	nsubj	превзошёл			masc	VERB	0	0	sing
превзошёл	0	1	1	16	161			masc		VERB	ROOT	превзошёл			masc	VERB	0	0	sing
ожидания	0	1	1	16	162	inan	gent	neut		NOUN	obl	превзошёл			masc	VERB	0	0	sing
ужасно	0	1	1	16	163					ADVB	advmod	кружится				VERB	0	0	
кружится	0	1	1	16	164				3per	VERB	parataxis	превзошёл			masc	VERB	0	0	sing
голова	0	1	1	16	165	inan	nomn	femn		NOUN	nsubj	кружится				VERB	0	0	sing
руки	0	1	1	16	166	inan	accs	femn		NOUN	nsubj	трясутся				VERB	0	0	plur
трясутся	0	1	1	16	167				3per	VERB	conj	кружится				VERB	0	0	plur
ноги	0	1	1	16	168	inan	accs	femn		NOUN	nsubj	слушаются				VERB	0	0	plur
не	0	1	1	16	169					PRCL	advmod	слушаются				VERB	0	0	
слушаются	0	1	1	16	170				3per	VERB	conj	кружится				VERB	0	0	plur
боюсь	0	1	1	17	171				1per	VERB	ROOT	боюсь				VERB	0	0	sing
пройти	0	1	1	17	172					INFN	xcomp	боюсь				VERB	0	0	
по	0	1	1	17	173					PREP	case	квартире	inan	loct	femn	NOUN	0	0	
квартире	0	1	1	17	174	inan	loct	femn		NOUN	obl	пройти				INFN	0	0	sing
брать	0	1	1	17	175					INFN	conj	пройти				INFN	0	0	
в	0	1	1	17	176					PREP	case	руки	inan	accs	femn	NOUN	0	0	
руки	0	1	1	17	177	inan	accs	femn		NOUN	obl	брать				INFN	0	0	plur
вещи	0	1	1	17	178	inan	accs	femn		NOUN	obj	брать				INFN	0	0	plur
чтобы	0	1	1	17	179					CONJ	mark	сломать				INFN	0	0	
ничего	0	1	1	17	180					ADVB	obj	сломать				INFN	0	0	
не	0	1	1	17	181					PRCL	advmod	сломать				INFN	0	0	
сломать	0	1	1	17	182					INFN	advcl	брать				INFN	0	0	
инцеденты	0	1	1	17	183	anim	nomn	masc		NOUN	nsubj	были				VERB	0	0	plur
уже	0	1	1	17	184					ADVB	advmod	были				VERB	0	0	
были	0	1	1	17	185					VERB	parataxis	боюсь				VERB	0	0	plur
рассеянность	0	1	1	18	186	inan	accs	femn		NOUN	nsubj	ухитрилась			femn	VERB	0	0	sing
ухитрилась	0	1	1	18	187			femn		VERB	ROOT	ухитрилась			femn	VERB	0	0	sing
заблудиться	0	1	1	18	188					INFN	xcomp	ухитрилась			femn	VERB	0	0	
возле	0	1	1	18	189					PREP	case	дома	inan	gent	masc	NOUN	0	0	
собственного	0	1	1	18	190		gent	neut		ADJF	amod	дома	inan	gent	masc	NOUN	0	0	sing
дома	0	1	1	18	191	inan	gent	masc		NOUN	obl	заблудиться				INFN	0	0	sing
врач	0	1	1	19	192	anim	nomn	masc		NOUN	nsubj	велела			femn	VERB	0	0	sing
велела	0	1	1	19	193			femn		VERB	ROOT	велела			femn	VERB	0	0	sing
больше	0	1	1	19	194					COMP	advmod	спать				INFN	0	0	
спать	0	1	1	19	195					INFN	xcomp	велела			femn	VERB	0	0	
но	0	1	1	20	196					CONJ	cc	сплю				VERB	0	0	
я	0	1	1	20	197		nomn		1per	NPRO	nsubj	сплю				VERB	0	0	sing
сплю	0	1	1	20	198				1per	VERB	ROOT	сплю				VERB	0	0	sing
как	0	1	1	20	199					CONJ	mark	обычно				ADVB	0	0	
обычно	0	1	1	20	200					ADVB	advmod	сплю				VERB	0	0	
и	0	1	1	20	201					CONJ	cc	часом	inan	ablt	masc	NOUN	0	0	
не	0	1	1	20	202					PRCL	advmod	часом	inan	ablt	masc	NOUN	0	0	
часом	0	1	1	20	203	inan	ablt	masc		NOUN	conj	обычно				ADVB	0	0	sing
больше	0	1	1	20	204					COMP	advmod	сплю				VERB	0	0	
ждать	0	1	1	21	205					INFN	ROOT	ждать				INFN	0	0	
ли	0	1	1	21	206					CONJ	advmod	ждать				INFN	0	0	
мне	0	1	1	21	207		datv		1per	NPRO	iobj	ждать				INFN	0	0	sing
положительных	0	1	1	21	208		gent			ADJF	amod	результатов	inan	gent	masc	NOUN	0	0	plur
результатов	0	1	1	21	209	inan	gent	masc		NOUN	obj	ждать				INFN	0	0	plur
или	0	1	1	21	210					CONJ	cc	дура	anim	nomn	femn	NOUN	0	0	
я	0	1	1	21	211		nomn		1per	NPRO	nsubj	дура	anim	nomn	femn	NOUN	0	0	sing
просто	0	1	1	21	212					PRCL	advmod	дура	anim	nomn	femn	NOUN	0	0	
дура	0	1	1	21	213	anim	nomn	femn		NOUN	conj	ждать				INFN	0	0	sing
что	0	1	1	21	214					CONJ	mark	подсела			femn	VERB	0	0	
подсела	0	1	1	21	215			femn		VERB	parataxis	ждать				INFN	0	0	sing
на	0	1	1	21	216					PREP	case	таблетки	inan	accs	femn	NOUN	0	0	
таблетки	0	1	1	21	217	inan	accs	femn		NOUN	obl	подсела			femn	VERB	2	0	plur
так	0	1	1	21	218					CONJ	advmod	говорят				VERB	0	0	
говорят	0	1	1	21	219				3per	VERB	parataxis	таблетки	inan	accs	femn	NOUN	0	0	plur
все	0	1	1	21	220					PRCL	det	родственники	anim	nomn	masc	NOUN	0	0	
родственники	0	1	1	21	221	anim	nomn	masc		NOUN	nsubj	говорят				VERB	0	0	plur
прошу	0	1	1	22	222				1per	VERB	ROOT	прошу				VERB	0	0	sing
прощения	0	1	1	22	223	inan	gent	neut		NOUN	obj	прошу				VERB	0	0	sing
за	0	1	1	22	224					PREP	case	рассказ	inan	nomn	masc	NOUN	0	0	
такой	0	1	1	22	225		gent	femn		ADJF	det	рассказ	inan	nomn	masc	NOUN	0	0	sing
пространный	0	1	1	22	226		nomn	masc		ADJF	amod	рассказ	inan	nomn	masc	NOUN	0	0	sing
рассказ	0	1	1	22	227	inan	nomn	masc		NOUN	nmod	прощения	inan	gent	neut	NOUN	0	0	sing
о	0	1	1	22	228					PREP	case	жизни	inan	gent	femn	NOUN	0	0	
жизни	0	1	1	22	229	inan	gent	femn		NOUN	nmod	рассказ	inan	nomn	masc	NOUN	0	0	sing
впервые	0	1	1	23	230					ADVB	advmod	решила			femn	VERB	0	0	
решила	0	1	1	23	231			femn		VERB	ROOT	решила			femn	VERB	0	0	sing
воспользоваться	0	1	1	23	232					INFN	xcomp	решила			femn	VERB	0	0	
форумом	0	1	1	23	233	inan	ablt	masc		NOUN	obj	воспользоваться				INFN	0	0	sing
ещё	0	1	1	23	234					ADVB	advmod	нет				PRED	0	0	
нет	0	1	1	23	235					PRED	conj	решила			femn	VERB	0	0	
опыта	0	1	1	23	236	inan	gent	masc		NOUN	nsubj	нет				PRED	0	0	sing
люди	0	1	1	24	237	anim	nomn	masc		NOUN	ROOT	люди	anim	nomn	masc	NOUN	0	0	plur
если	0	1	1	25	238					CONJ	mark	беспокою				VERB	0	0	
даже	0	1	1	25	239					PRCL	advmod	я		nomn		NPRO	0	0	
я	0	1	1	25	240		nomn		1per	NPRO	nsubj	беспокою				VERB	0	0	sing
беспокою	0	1	1	25	241				1per	VERB	ROOT	беспокою				VERB	0	0	sing
вас	0	1	1	25	242		accs		2per	NPRO	obj	беспокою				VERB	0	0	plur
впустую	0	1	1	25	243					ADVB	advmod	беспокою				VERB	0	0	
если	0	1	1	26	244					CONJ	mark	неравнодушный		nomn	masc	ADJF	0	0	
кто	0	1	1	26	245		nomn	masc		NPRO	nsubj	неравнодушный		nomn	masc	ADJF	0	0	sing
нибудь	0	1	1	26	246					VERB	nsubj	есть				INFN	0	0	sing
есть	0	1	1	26	247					INFN	cop	неравнодушный		nomn	masc	ADJF	0	0	
неравнодушный	0	1	1	26	248		nomn	masc		ADJF	advcl	будет				VERB	0	0	sing
будет	0	1	1	26	249				3per	VERB	cop	время	inan	accs	neut	NOUN	0	0	sing
время	0	1	1	26	250	inan	accs	neut		NOUN	ROOT	время	inan	accs	neut	NOUN	0	0	sing
посоветуйте	0	1	1	26	251					VERB	csubj	время	inan	accs	neut	NOUN	0	0	plur
как	0	1	1	26	252					CONJ	advmod	реагировать				INFN	0	0	
мне	0	1	1	26	253		datv		1per	NPRO	iobj	реагировать				INFN	0	0	sing
реагировать	0	1	1	26	254					INFN	ccomp	посоветуйте				VERB	0	0	
на	0	1	1	26	255					PREP	mark	происходящее		accs	neut	PRTF	0	0	
происходящее	0	1	1	26	256		accs	neut		PRTF	xcomp	реагировать				INFN	0	0	sing
что	0	1	1	26	257					CONJ	mark	можно				PRED	0	0	
можно	0	1	1	26	258					PRED	parataxis	время	inan	accs	neut	NOUN	0	0	
почитать	0	1	1	26	259					INFN	csubj	можно				PRED	0	0	
на	0	1	1	26	260					PREP	case	тему	inan	accs	femn	NOUN	0	0	
эту	0	1	1	26	261		accs	femn		ADJF	det	тему	inan	accs	femn	NOUN	0	0	sing
тему	0	1	1	26	262	inan	accs	femn		NOUN	obl	почитать				INFN	0	0	sing
может	0	1	1	27	263				3per	VERB	parataxis	выбрала			femn	VERB	0	0	sing
я	0	1	1	27	264		nomn		1per	NPRO	nsubj	выбрала			femn	VERB	0	0	sing
выбрала	0	1	1	27	265			femn		VERB	ROOT	выбрала			femn	VERB	0	0	sing
не	0	1	1	27	266					PRCL	advmod	ту		accs	femn	ADJF	0	0	
ту	0	1	1	27	267		accs	femn		ADJF	det	тему	inan	accs	femn	NOUN	0	0	sing
тему	0	1	1	27	268	inan	accs	femn		NOUN	obj	выбрала			femn	VERB	0	0	sing
чтобы	0	1	1	27	269					CONJ	mark	писать				INFN	0	0	
писать	0	1	1	27	270					INFN	advcl	выбрала			femn	VERB	0	0	
в	0	1	1	27	271					PREP	case	форум	inan	accs	masc	NOUN	0	0	
форум	0	1	1	27	272	inan	accs	masc		NOUN	obl	писать				INFN	0	0	sing
и	0	1	1	28	273					CONJ	cc	прошу				VERB	0	0	
снова	0	1	1	28	274					ADVB	advmod	прошу				VERB	0	0	
прошу	0	1	1	28	275				1per	VERB	ROOT	прошу				VERB	0	0	sing
прощения	0	1	1	28	276	inan	gent	neut		NOUN	obj	прошу				VERB	0	0	sing
если	0	1	1	28	277					CONJ	mark	возможно				CONJ	0	0	
таковое	0	1	1	28	278		nomn	neut		ADJF	nsubj	возможно				CONJ	0	0	sing
возможно	0	1	1	28	279					CONJ	advcl	прошу				VERB	0	0	
надо	1	1	2	0	280					PRED	ROOT	надо				PRED	0	0	
подумать	1	1	2	0	281					INFN	csubj	надо				PRED	0	0	
сказал(а	1	1	2	0	282	inan	gent	masc		NOUN	obj	подумать				INFN	0	0	sing
ждать	1	1	2	0	283					INFN	ROOT	ждать				INFN	0	0	
ли	1	1	2	0	284					CONJ	advmod	ждать				INFN	0	0	
мне	1	1	2	0	285		datv		1per	NPRO	iobj	ждать				INFN	0	0	sing
положительных	1	1	2	0	286		gent			ADJF	amod	результатов	inan	gent	masc	NOUN	0	0	plur
результатов	1	1	2	0	287	inan	gent	masc		NOUN	obj	ждать				INFN	0	0	plur
или	1	1	2	0	288					CONJ	cc	дура	anim	nomn	femn	NOUN	0	0	
я	1	1	2	0	289		nomn		1per	NPRO	nsubj	дура	anim	nomn	femn	NOUN	0	0	sing
просто	1	1	2	0	290					PRCL	advmod	дура	anim	nomn	femn	NOUN	0	0	
дура	1	1	2	0	291	anim	nomn	femn		NOUN	conj	ждать				INFN	0	0	sing
что	1	1	2	0	292					CONJ	mark	подсела			femn	VERB	0	0	
подсела	1	1	2	0	293			femn		VERB	ccomp	ждать				INFN	0	0	sing
на	1	1	2	0	294					PREP	case	таблетки	inan	accs	femn	NOUN	0	0	
таблетки	1	1	2	0	295	inan	accs	femn		NOUN	obl	подсела			femn	VERB	2	0	plur
так	1	1	2	0	296					CONJ	advmod	говорят				VERB	0	0	
говорят	1	1	2	0	297				3per	VERB	parataxis	таблетки	inan	accs	femn	NOUN	0	0	plur
все	1	1	2	0	298					PRCL	det	родственники	anim	nomn	masc	NOUN	0	0	
родственники	1	1	2	0	299	anim	nomn	masc		NOUN	nsubj	говорят				VERB	0	0	plur
исходя	1	1	2	1	300					GRND	advcl	серьезные		nomn		ADJF	0	0	
из	1	1	2	1	301					PREP	mark	написанного		gent	neut	PRTF	0	0	
написанного	1	1	2	1	302		gent	neut		PRTF	obl	исходя				GRND	0	0	sing
вами	1	1	2	1	303		ablt		2per	NPRO	obl	написанного		gent	neut	PRTF	0	0	plur
проблемы	1	1	2	1	304	inan	nomn	femn		NOUN	nsubj	серьезные		nomn		ADJF	0	0	plur
все	1	1	2	1	305					PRCL	advmod	достаточно				ADVB	0	0	
таки	1	1	2	1	306					PRCL	advmod	достаточно				ADVB	0	0	
достаточно	1	1	2	1	307					ADVB	advmod	серьезные		nomn		ADJF	0	0	
серьезные	1	1	2	1	308		nomn			ADJF	ROOT	серьезные		nomn		ADJF	0	0	plur
и	1	1	2	1	309					CONJ	cc	требуют				VERB	0	0	
видимо	1	1	2	1	310					ADVB	parataxis	требуют				VERB	0	0	
требуют	1	1	2	1	311				3per	VERB	conj	серьезные		nomn		ADJF	0	0	plur
именно	1	1	2	1	312					PRCL	advmod	психофармакотерапии	inan	gent	femn	NOUN	0	0	
психофармакотерапии	1	1	2	1	313	inan	gent	femn		NOUN	obj	требуют				VERB	0	0	sing
так	1	1	2	2	314					CONJ	mark	нужны				ADJS	0	0	
