TOKEN	POST_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_POS	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	SENT_VECTOR	NER	COREFERENCE_CLUSTER		
ссылка	10	inan	nomn	femn	-	NOUN	nsubj:pass	Добавлена	PRTS	-	-	femn	PRTS	0.2056436435336114	0	0		
на	10	-	-	-	-	PREP	case	ролик	NOUN	inan	nomn	masc	NOUN	0.2056436435336114	0	0		
ролик	10	inan	nomn	masc	-	NOUN	nmod	ссылка	NOUN	inan	nomn	femn	NOUN	0.2056436435336114	0	0		
в	10	-	-	-	-	PREP	case	You	-	-	-	-	-	0.2056436435336114	0	0		
You	10	-	-	-	-	-	nmod	ссылка	NOUN	inan	nomn	femn	NOUN	0.2056436435336114	0	0		
Tube	10	-	-	-	-	-	punct	Добавлена	PRTS	-	-	femn	PRTS	0.2056436435336114	0	0		
Сообщение	10	inan	nomn	neut	-	NOUN	obj	отредактировал	VERB	-	-	masc	VERB	0.2056436435336114	0	0		
отредактировал	10	-	-	masc	-	VERB	ROOT	отредактировал	VERB	-	-	masc	VERB	0.08930597654931868	0	0		
Гилев	10	anim	nomn	masc	-	NOUN	nsubj	отредактировал	VERB	-	-	masc	VERB	0.08930597654931868	0	0		
12	10	-	-	-	-	-	nummod	Добавлена	PRTS	-	-	femn	PRTS	0.08930597654931868	0	0		
Апрель	10	inan	nomn	masc	-	NOUN	flat	12	-	-	-	-	-	0.08930597654931868	0	0		
2020	10	-	-	-	-	-	flat	12	-	-	-	-	-	0.08930597654931868	0	0		
7	10	-	-	-	-	-	flat	12	-	-	-	-	-	0.08930597654931868	0	0		
55	10	-	-	-	-	-	flat	12	-	-	-	-	-	0.08930597654931868	0	0		
Добавлена	10	-	-	femn	-	PRTS	obl	отредактировал	VERB	-	-	masc	VERB	0.08930597654931868	0	0		
ссылка	10	inan	nomn	femn	-	NOUN	nsubj	отредактировал	VERB	-	-	masc	VERB	0.08930597654931868	0	0		
на	10	-	-	-	-	PREP	case	ролик	NOUN	inan	nomn	masc	NOUN	0.08930597654931868	0	0		
ролик	10	inan	nomn	masc	-	NOUN	nmod	ссылка	NOUN	inan	nomn	femn	NOUN	0.08930597654931868	0	0		
в	10	-	-	-	-	PREP	case	You	-	-	-	-	-	0.08930597654931868	0	0		
You	10	-	-	-	-	-	nmod	ссылка	NOUN	inan	nomn	femn	NOUN	0.08930597654931868	0	0		
Tube	10	-	-	-	-	-	flat:foreign	You	-	-	-	-	-	0.08930597654931868	0	0		
Орто	11	-	-	neut	-	ADJS	nsubj	сказал	VERB	-	-	masc	VERB	0.08930597654931868	0	0		
сказал	11	-	-	masc	-	VERB	ROOT	сказал	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
а	11	-	-	-	-	CONJ	cc	вернулся	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
27	11	-	-	-	-	-	nummod	11	-	-	-	-	-	0.20263762469403446	0	0		
11	11	-	-	-	-	-	nummod	19	-	-	-	-	-	0.20263762469403446	0	0		
2008	11	-	-	-	-	-	flat	11	-	-	-	-	-	0.20263762469403446	0	0		
19	11	-	-	-	-	-	nummod	59	-	-	-	-	-	0.20263762469403446	0	0		
59	11	-	-	-	-	-	nummod	вернулся	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
На	11	-	-	-	-	PREP	case	рынок	NOUN	inan	accs	masc	NOUN	0.20263762469403446	0	0		
рынок	11	inan	accs	masc	-	NOUN	obl	вернулся	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
снова	11	-	-	-	-	ADVB	advmod	вернулся	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
вернулся	11	-	-	masc	-	VERB	conj	сказал	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
алимемазин	11	inan	nomn	masc	-	NOUN	nsubj	вернулся	VERB	-	-	masc	VERB	0.20263762469403446	B-MED	алимемазин		
раньше	11	-	-	-	-	COMP	advmod	терален	NOUN	anim	nomn	masc	NOUN	0.20263762469403446	0	0		
терален	11	anim	nomn	masc	-	NOUN	conj	сказал	VERB	-	-	masc	VERB	0.20263762469403446	B-MED	терален		
назывался	11	-	-	masc	-	VERB	conj	сказал	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
Кто	11	-	nomn	masc	-	NPRO	nsubj	принимал	VERB	-	-	masc	VERB	0.20263762469403446	0	0		
принимал	11	-	-	masc	-	VERB	ROOT	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
в	11	-	-	-	-	PREP	case	практике	NOUN	inan	loct	femn	NOUN	-0.25664068207455176	0	0		
своей	11	-	gent	femn	-	ADJF	det	практике	NOUN	inan	loct	femn	NOUN	-0.25664068207455176	0	0		
практике	11	inan	loct	femn	-	NOUN	obl	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
что	11	-	-	-	-	CONJ	mark	случай	NOUN	inan	nomn	masc	NOUN	-0.25664068207455176	0	0		
хорошего	11	-	gent	neut	-	ADJF	amod	Это	PRCL	-	-	-	PRCL	-0.25664068207455176	0	0		
что	11	-	-	-	-	CONJ	mark	Это	PRCL	-	-	-	PRCL	-0.25664068207455176	0	0		
плохого	11	-	gent	neut	-	ADJF	amod	Это	PRCL	-	-	-	PRCL	-0.25664068207455176	0	0		
Это	11	-	-	-	-	PRCL	nsubj	случай	NOUN	inan	nomn	masc	NOUN	-0.25664068207455176	0	0		
тот	11	-	nomn	masc	-	ADJF	det	случай	NOUN	inan	nomn	masc	NOUN	-0.25664068207455176	0	0		
редкий	11	-	nomn	masc	-	ADJF	amod	случай	NOUN	inan	nomn	masc	NOUN	-0.25664068207455176	0	0		
случай	11	inan	nomn	masc	-	NOUN	obj	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
когда	11	-	-	-	-	CONJ	mark	оставил	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
антипсихотик	11	anim	nomn	masc	-	NOUN	nsubj	оставил	VERB	-	-	masc	VERB	-0.25664068207455176	0	алимемазин		
оставил	11	-	-	masc	-	VERB	acl:relcl	случай	NOUN	inan	nomn	masc	NOUN	-0.25664068207455176	0	0		
самые	11	-	nomn	-	-	ADJF	amod	приятные	ADJF	-	nomn	-	ADJF	-0.25664068207455176	0	0		
приятные	11	-	nomn	-	-	ADJF	amod	впечатления	NOUN	inan	nomn	neut	NOUN	-0.25664068207455176	0	0		
впечатления	11	inan	nomn	neut	-	NOUN	obj	оставил	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
к	11	-	-	-	-	PREP	case	сожалению	NOUN	inan	datv	neut	NOUN	-0.25664068207455176	0	0		
сожалению	11	inan	datv	neut	-	NOUN	obl	оставил	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
про	11	-	-	-	-	PREP	case	моно	NOUN	inan	nomn	neut	NOUN	-0.25664068207455176	0	0		
моно	11	inan	nomn	neut	-	NOUN	nmod	сожалению	NOUN	inan	datv	neut	NOUN	-0.25664068207455176	0	0		
терапию	11	inan	accs	femn	-	NOUN	nmod	моно	NOUN	inan	nomn	neut	NOUN	-0.25664068207455176	0	0		
рассказать	11	-	-	-	-	INFN	xcomp	могу	VERB	-	-	-	VERB	-0.25664068207455176	0	0		
не	11	-	-	-	-	PRCL	advmod	могу	VERB	-	-	-	VERB	-0.25664068207455176	0	0		
могу	11	-	-	-	1per	VERB	ccomp	оставил	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
т	11	-	-	-	-	ADVB	cc	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
к	11	-	-	-	-	PREP	advmod	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
принимал	11	-	-	masc	-	VERB	conj	оставил	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
его	11	-	accs	masc	3per	NPRO	obj	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	алимемазин		
совместно	11	-	-	-	-	ADVB	advmod	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
с	11	-	-	-	-	PREP	case	антидепрессантами	NOUN	inan	ablt	masc	NOUN	-0.25664068207455176	0	0		
антидепрессантами	11	inan	ablt	masc	-	NOUN	obl	совместно	ADVB	-	-	-	ADVB	-0.25664068207455176	0	0		
Орто	11	-	-	neut	-	ADJS	appos	антидепрессантами	NOUN	inan	ablt	masc	NOUN	-0.25664068207455176	0	0		
а	11	-	-	-	-	CONJ	cc	можно	PRED	-	-	-	PRED	-0.25664068207455176	0	0		
где	11	-	-	-	-	ADVB	advmod	можно	PRED	-	-	-	PRED	-0.25664068207455176	0	0		
его	11	-	accs	masc	3per	NPRO	obj	можно	PRED	-	-	-	PRED	-0.25664068207455176	0	алимемазин		
можно	11	-	-	-	-	PRED	parataxis	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
приобрести	11	-	-	-	-	INFN	csubj	можно	PRED	-	-	-	PRED	-0.25664068207455176	0	0		
не	11	-	-	-	-	PRCL	advmod	приобрести	INFN	-	-	-	INFN	-0.25664068207455176	0	0		
подскажете	11	-	-	-	2per	VERB	punct	принимал	VERB	-	-	masc	VERB	-0.25664068207455176	0	0		
В	12	-	-	-	-	PREP	case	Волгограде	NOUN	inan	loct	masc	NOUN	-0.25664068207455176	0	0		
Волгограде	12	inan	loct	masc	-	NOUN	obl	есть	INFN	-	-	-	INFN	-0.012027630768716335	0	0		
есть	12	-	-	-	-	INFN	ROOT	есть	INFN	-	-	-	INFN	-0.012027630768716335	0	0		
почти	12	-	-	-	-	ADVB	advmod	аптеках	NOUN	inan	loct	femn	NOUN	-0.012027630768716335	0	0		
во	12	-	-	-	-	PREP	case	аптеках	NOUN	inan	loct	femn	NOUN	-0.012027630768716335	0	0		
всех	12	-	gent	-	-	ADJF	det	аптеках	NOUN	inan	loct	femn	NOUN	-0.012027630768716335	0	0		
аптеках	12	inan	loct	femn	-	NOUN	obl	стоит	VERB	-	-	-	VERB	-0.012027630768716335	0	0		
стоит	12	-	-	-	-	VERB	conj	есть	INFN	-	-	-	INFN	-0.012027630768716335	0	0		
80	12	-	-	-	-	-	nummod	руб	NOUN	inan	nomn	masc	NOUN	-0.012027630768716335	0	0		
руб	12	inan	nomn	masc	-	NOUN	ROOT	руб	NOUN	inan	nomn	masc	NOUN	-0.012027630768716335	0	0		
Мы	12	-	nomn	-	1per	NPRO	nsubj	применяемм	NOUN	inan	gent	femn	NOUN	-0.012027630768716335	0	0		
его	12	-	accs	masc	3per	NPRO	det	применяемм	NOUN	inan	gent	femn	NOUN	-0.14876290317624807	0	алимемазин		
применяемм	12	inan	gent	femn	-	NOUN	ROOT	применяемм	NOUN	inan	gent	femn	NOUN	-0.14876290317624807	0	0		
в	12	-	-	-	-	PREP	case	основном	NOUN	inan	loct	neut	NOUN	-0.14876290317624807	0	0		
основном	12	inan	loct	neut	-	NOUN	obl	применяемм	NOUN	inan	gent	femn	NOUN	-0.14876290317624807	0	0		
как	12	-	-	-	-	CONJ	fixed	применяемм	NOUN	inan	gent	femn	NOUN	-0.14876290317624807	0	0		
вегетостабилизатор	12	inan	nomn	masc	-	NOUN	punct	применяемм	NOUN	inan	gent	femn	NOUN	-0.14876290317624807	0	0		
прекрасный	13	-	nomn	masc	-	ADJF	amod	препарат	NOUN	inan	nomn	masc	NOUN	-0.14876290317624807	0	0		
препарат	13	inan	nomn	masc	-	NOUN	nsubj:pass	особено	PRTS	-	-	neut	PRTS	0.03970603797850864	0	алимемазин		
особено	13	-	-	neut	-	PRTS	ROOT	особено	PRTS	-	-	neut	PRTS	0.03970603797850864	0	0		
при	13	-	-	-	-	PREP	case	сенесто	NOUN	inan	nomn	femn	NOUN	0.03970603797850864	0	0		
сенесто	13	inan	nomn	femn	-	NOUN	obl	особено	PRTS	-	-	neut	PRTS	0.03970603797850864	0	0		
ипохондрических	13	-	gent	-	-	ADJF	amod	расстройствах	NOUN	inan	loct	neut	NOUN	0.03970603797850864	0	0		
расстройствах	13	inan	loct	neut	-	NOUN	obl	особено	PRTS	-	-	neut	PRTS	0.03970603797850864	0	0		
Наконец	13	-	-	-	-	ADVB	advmod	начинают	VERB	-	-	-	VERB	0.03970603797850864	0	0		
начинают	13	-	-	-	3per	VERB	ROOT	начинают	VERB	-	-	-	VERB	-0.20651726878713816	0	0		
сознавать	13	-	-	-	-	INFN	xcomp	начинают	VERB	-	-	-	VERB	-0.20651726878713816	0	0		
что	13	-	-	-	-	CONJ	mark	значит	CONJ	-	-	-	CONJ	-0.20651726878713816	0	0		
старое	13	inan	accs	neut	-	NOUN	nsubj	значит	CONJ	-	-	-	CONJ	-0.20651726878713816	0	0		
не	13	-	-	-	-	PRCL	advmod	значит	CONJ	-	-	-	CONJ	-0.20651726878713816	0	0		
значит	13	-	-	-	-	CONJ	ccomp	сознавать	INFN	-	-	-	INFN	-0.20651726878713816	0	0		
плохое	13	-	nomn	neut	-	ADJF	punct	начинают	VERB	-	-	-	VERB	-0.20651726878713816	0	0		
Easy	14	-	-	-	-	-	nsubj	сказал	VERB	-	-	masc	VERB	-0.20651726878713816	0	0		
сказал	14	-	-	masc	-	VERB	ROOT	сказал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
а	14	-	-	-	-	CONJ	cc	случай	NOUN	inan	nomn	masc	NOUN	-0.15633655828991677	0	0		
28	14	-	-	-	-	-	nummod	11	-	-	-	-	-	-0.15633655828991677	0	0		
11	14	-	-	-	-	-	nummod	19	-	-	-	-	-	-0.15633655828991677	0	0		
2008	14	-	-	-	-	-	flat	11	-	-	-	-	-	-0.15633655828991677	0	0		
13	14	-	-	-	-	-	nummod	19	-	-	-	-	-	-0.15633655828991677	0	0		
19	14	-	-	-	-	-	nummod	Это	PRCL	-	-	-	PRCL	-0.15633655828991677	0	0		
Это	14	-	-	-	-	PRCL	nsubj	случай	NOUN	inan	nomn	masc	NOUN	-0.15633655828991677	0	0		
тот	14	-	nomn	masc	-	ADJF	det	случай	NOUN	inan	nomn	masc	NOUN	-0.15633655828991677	0	0		
редкий	14	-	nomn	masc	-	ADJF	amod	случай	NOUN	inan	nomn	masc	NOUN	-0.15633655828991677	0	0		
случай	14	inan	nomn	masc	-	NOUN	obj	сказал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
когда	14	-	-	-	-	CONJ	mark	оставил	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
антипсихотик	14	anim	nomn	masc	-	NOUN	nsubj	оставил	VERB	-	-	masc	VERB	-0.15633655828991677	0	алимемазин		
оставил	14	-	-	masc	-	VERB	acl:relcl	случай	NOUN	inan	nomn	masc	NOUN	-0.15633655828991677	0	0		
самые	14	-	nomn	-	-	ADJF	amod	приятные	ADJF	-	nomn	-	ADJF	-0.15633655828991677	0	0		
приятные	14	-	nomn	-	-	ADJF	amod	впечатления	NOUN	inan	nomn	neut	NOUN	-0.15633655828991677	0	0		
впечатления	14	inan	nomn	neut	-	NOUN	obj	оставил	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
к	14	-	-	-	-	PREP	case	сожалению	NOUN	inan	datv	neut	NOUN	-0.15633655828991677	0	0		
сожалению	14	inan	datv	neut	-	NOUN	obl	оставил	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
про	14	-	-	-	-	PREP	case	моно	NOUN	inan	nomn	neut	NOUN	-0.15633655828991677	0	0		
моно	14	inan	nomn	neut	-	NOUN	nmod	сожалению	NOUN	inan	datv	neut	NOUN	-0.15633655828991677	0	0		
терапию	14	inan	accs	femn	-	NOUN	nmod	моно	NOUN	inan	nomn	neut	NOUN	-0.15633655828991677	0	0		
рассказать	14	-	-	-	-	INFN	xcomp	могу	VERB	-	-	-	VERB	-0.15633655828991677	0	0		
не	14	-	-	-	-	PRCL	advmod	могу	VERB	-	-	-	VERB	-0.15633655828991677	0	0		
могу	14	-	-	-	1per	VERB	ccomp	оставил	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
т	14	-	-	-	-	ADVB	cc	принимал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
к	14	-	-	-	-	PREP	advmod	принимал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
принимал	14	-	-	masc	-	VERB	conj	оставил	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
его	14	-	accs	masc	3per	NPRO	obj	принимал	VERB	-	-	masc	VERB	-0.15633655828991677	0	алимемазин		
совместно	14	-	-	-	-	ADVB	advmod	принимал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
с	14	-	-	-	-	PREP	case	антидепрессантами	NOUN	inan	ablt	masc	NOUN	-0.15633655828991677	0	0		
антидепрессантами	14	inan	ablt	masc	-	NOUN	obl	совместно	ADVB	-	-	-	ADVB	-0.15633655828991677	0	0		
Орто	14	-	-	neut	-	ADJS	appos	антидепрессантами	NOUN	inan	ablt	masc	NOUN	-0.15633655828991677	0	0		
а	14	-	-	-	-	CONJ	cc	можно	PRED	-	-	-	PRED	-0.15633655828991677	0	0		
где	14	-	-	-	-	ADVB	advmod	можно	PRED	-	-	-	PRED	-0.15633655828991677	0	0		
его	14	-	accs	masc	3per	NPRO	obj	можно	PRED	-	-	-	PRED	-0.15633655828991677	0	алимемазин		
можно	14	-	-	-	-	PRED	parataxis	принимал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
приобрести	14	-	-	-	-	INFN	csubj	можно	PRED	-	-	-	PRED	-0.15633655828991677	0	0		
не	14	-	-	-	-	PRCL	advmod	приобрести	INFN	-	-	-	INFN	-0.15633655828991677	0	0		
подскажете	14	-	-	-	2per	VERB	punct	сказал	VERB	-	-	masc	VERB	-0.15633655828991677	0	0		
В	14	-	-	-	-	PREP	case	Москве	NOUN	inan	loct	femn	NOUN	-0.15633655828991677	0	0		
Москве	14	inan	loct	femn	-	NOUN	obl	продается	VERB	-	-	-	VERB	0.07250947172287851	0	0		
продается	14	-	-	-	3per	VERB	ROOT	продается	VERB	-	-	-	VERB	0.07250947172287851	0	0		
http	14	-	-	-	-	-	nsubj	продается	VERB	-	-	-	VERB	0.07250947172287851	0	0		
aptekamos	14	-	-	-	-	-	flat:foreign	http	-	-	-	-	-	0.07250947172287851	0	0		
ru	14	-	-	-	-	-	flat:foreign	http	-	-	-	-	-	0.07250947172287851	0	0		
ed	14	-	-	-	-	-	flat:foreign	http	-	-	-	-	-	0.07250947172287851	0	0		
jsp	14	-	-	-	-	-	flat:foreign	http	-	-	-	-	-	0.07250947172287851	0	0		
id	14	-	-	-	-	-	flat:foreign	http	-	-	-	-	-	0.07250947172287851	0	0		
48441	14	-	-	-	-	-	punct	продается	VERB	-	-	-	VERB	0.07250947172287851	0	0		
Прекраная	15	-	nomn	femn	-	ADJF	amod	замена	NOUN	inan	nomn	femn	NOUN	0.07250947172287851	0	0		
замена	15	inan	nomn	femn	-	NOUN	ROOT	замена	NOUN	inan	nomn	femn	NOUN	-0.03532578004524112	0	0		
опротивевшему	15	-	datv	masc	-	PRTF	amod	сонапаксу	NOUN	inan	nomn	femn	NOUN	-0.03532578004524112	0	0		
сонапаксу	15	inan	nomn	femn	-	NOUN	iobj	замена	NOUN	inan	nomn	femn	NOUN	-0.03532578004524112	0	сонапакс 	?	
На	16	-	-	-	-	PREP	case	меня	NPRO	-	accs	-	NPRO	-0.03532578004524112	0	0		
меня	16	-	accs	-	1per	NPRO	obl	произвёл	VERB	-	-	masc	VERB	-0.17186792070666948	0	0		
он	16	-	nomn	masc	3per	NPRO	nsubj	произвёл	VERB	-	-	masc	VERB	-0.17186792070666948	0	алимемазин		
произвёл	16	-	-	masc	-	VERB	ROOT	произвёл	VERB	-	-	masc	VERB	-0.17186792070666948	0	0		
УЖАСНОЕ	16	-	nomn	neut	-	ADJF	iobj	произвёл	VERB	-	-	masc	VERB	-0.17186792070666948	0	0		
действие	16	inan	nomn	neut	-	NOUN	ROOT	действие	NOUN	inan	nomn	neut	NOUN	-0.17186792070666948	0	0		
Сначала	17	-	-	-	-	ADVB	advmod	стала	VERB	-	-	femn	VERB	-0.17186792070666948	0	0		
стала	17	-	-	femn	-	VERB	ROOT	стала	VERB	-	-	femn	VERB	0.01824838895117864	0	0		
в	17	-	-	-	-	PREP	case	туалет	NOUN	inan	accs	masc	NOUN	0.01824838895117864	0	0		
туалет	17	inan	accs	masc	-	NOUN	obl	стала	VERB	-	-	femn	VERB	0.01824838895117864	0	0		
редко	17	-	-	-	-	ADVB	advmod	ходить	INFN	-	-	-	INFN	0.01824838895117864	0	0		
ходить	17	-	-	-	-	INFN	xcomp	стала	VERB	-	-	femn	VERB	0.01824838895117864	0	0		
вся	17	-	nomn	femn	-	ADJF	nsubj	опухла	ADJS	-	-	femn	ADJS	0.01824838895117864	0	0		
опухла	17	-	-	femn	-	ADJS	conj	стала	VERB	-	-	femn	VERB	0.01824838895117864	0	0		
потом	17	-	-	-	-	ADVB	advmod	опухла	ADJS	-	-	femn	ADJS	0.01824838895117864	0	0		
в	17	-	-	-	-	PREP	case	ушах	NOUN	inan	loct	neut	NOUN	0.01824838895117864	0	0		
ушах	17	inan	loct	neut	-	NOUN	obl	опухла	ADJS	-	-	femn	ADJS	0.01824838895117864	0	0		
звенеть	17	-	-	-	-	INFN	xcomp	опухла	ADJS	-	-	femn	ADJS	0.01824838895117864	0	0		
начало	17	inan	nomn	neut	-	NOUN	obj	звенеть	INFN	-	-	-	INFN	0.01824838895117864	0	0		
сердце	17	inan	accs	neut	-	NOUN	nmod	начало	NOUN	inan	nomn	neut	NOUN	0.01824838895117864	0	0		
стало	17	-	-	neut	-	VERB	conj	стала	VERB	-	-	femn	VERB	0.01824838895117864	0	0		
болеть	17	-	-	-	-	INFN	xcomp	стало	VERB	-	-	neut	VERB	0.01824838895117864	0	0		
А	17	-	-	-	-	CONJ	cc	стали	VERB	-	-	-	VERB	0.01824838895117864	0	0		
на	17	-	-	-	-	PREP	case	день	NOUN	inan	accs	masc	NOUN	-0.2214180499315262	0	0		
третий	17	-	nomn	masc	-	ADJF	amod	день	NOUN	inan	accs	masc	NOUN	-0.2214180499315262	0	0		
день	17	inan	accs	masc	-	NOUN	obl	стали	VERB	-	-	-	VERB	-0.2214180499315262	0	0		
ночь	17	inan	accs	femn	-	NOUN	nmod	день	NOUN	inan	accs	masc	NOUN	-0.2214180499315262	0	0		
стали	17	-	-	-	-	VERB	ROOT	стали	VERB	-	-	-	VERB	-0.2214180499315262	0	0		
болеть	17	-	-	-	-	INFN	xcomp	стали	VERB	-	-	-	VERB	-0.2214180499315262	0	0		
все	17	-	-	-	-	PRCL	det	органы	NOUN	inan	nomn	masc	NOUN	-0.2214180499315262	0	0		
органы	17	inan	nomn	masc	-	NOUN	nsubj	стали	VERB	-	-	-	VERB	-0.2214180499315262	0	0		
ЖКТ	17	inan	gent	masc	-	NOUN	nmod	органы	NOUN	inan	nomn	masc	NOUN	-0.2214180499315262	0	0		
Открылась	17	-	-	femn	-	VERB	ROOT	Открылась	VERB	-	-	femn	VERB	-0.2214180499315262	0	0		
язва	17	inan	nomn	femn	-	NOUN	nsubj	Открылась	VERB	-	-	femn	VERB	-0.015645166160538793	0	0		
и	17	-	-	-	-	CONJ	cc	стало	VERB	-	-	neut	VERB	-0.015645166160538793	0	0		
стало	17	-	-	neut	-	VERB	conj	Открылась	VERB	-	-	femn	VERB	-0.015645166160538793	0	0		
невозможно	17	-	-	-	-	ADVB	xcomp	стало	VERB	-	-	neut	VERB	-0.015645166160538793	0	0		
глотать	17	-	-	-	-	INFN	xcomp	стало	VERB	-	-	neut	VERB	-0.015645166160538793	0	0		
болел	17	-	-	masc	-	VERB	xcomp	глотать	INFN	-	-	-	INFN	-0.015645166160538793	0	0		
живот	17	inan	nomn	masc	-	NOUN	ROOT	живот	NOUN	inan	nomn	masc	NOUN	-0.015645166160538793	0	0		
Ужасные	16	inan	accs	-	-	ADJF	amod	боли	NOUN	inan	gent	femn	NOUN	-0.015645166160538793	0	0		
боли	16	inan	gent	femn	-	NOUN	nsubj	теряла	VERB	-	-	femn	VERB	-0.33982107358483166	0	0		
были	16	-	-	-	-	VERB	cop	теряла	VERB	-	-	femn	VERB	-0.33982107358483166	0	0		
я	16	-	nomn	-	1per	NPRO	nsubj	теряла	VERB	-	-	femn	VERB	-0.33982107358483166	0	0		
даже	16	-	-	-	-	PRCL	advmod	несколько	ADVB	-	-	-	ADVB	-0.33982107358483166	0	0		
несколько	16	-	-	-	-	ADVB	nummod:gov	раз	NOUN	inan	gent	masc	NOUN	-0.33982107358483166	0	0		
