TOKEN	NER	COREFERENCE_CLUSTER
нибудь	0	
способ	0	
проверить	0	
что	0	
то	0	
вроде	0	
анализа	0	
сколько	0	
по	0	
времени	0	
нужно	0	
принимать	0	
этот	0	
препарат	0	
как	0	
мне	0	
объяснила	0	
мой	0	
врач	0	
нужно	0	
ждать	0	
пока	0	
не	0	
помрёт	0	
тот	0	
самый	0	
ген	0	
который	0	
запустил	0	
болезнь	0	
или	0	
пока	0	
организм	0	
не	0	
привыкнет	0	
к	0	
такому	0	
состоянию	0	
и	0	
ему	0	
уже	0	
не	0	
нужны	0	
будут	0	
таблетки	0	
но	0	
это	0	
так	0	
расплывчато	0	
и	0	
неопределенно	0	
что	0	
вводит	0	
в	0	
замешательство	0	
должны	0	
же	0	
быть	0	
какие	0	
то	0	
конкретные	0	
признаки	0	
как	0	
работает	0	
мозг	0	
нужен	0	
ли	0	
ему	0	
ещё	0	
препарат	0	
как	0	
себя	0	
будет	0	
вести	0	
мозг	0	
после	0	
отмены	0	
препарата	0	
и	0	
как	0	
он	0	
себя	0	
ведет	0	
во	0	
время	0	
его	0	
приема	0	
я	0	
понимаю	0	
что	0	
область	0	
психиатрии	0	
это	0	
очень	0	
сложная	0	
наука	0	
но	0	
если	0	
есть	0	
ответы	0	
на	0	
мои	0	
вопросы	0	
напишите	0	
пожалуйста	0	
к	0	
сожалению	0	
нет	0	
анализов	0	
которые	0	
могут	0	
определить	0	
длительность	0	
приема	0	
нейролептика	0	
"		
"	0	
demik	0	
писал	0	
а	0	
8	0	
июл	0	
2020	0	
20	0	
53	0	
я	0	
не	0	
тутошний	0	
но	0	
воспользовался	0	
услугами	0	
этого	0	
продавца	0	
нужно	0	
было	0	
срочно	0	
1	0	
банку	0	
соф	0	
вел	0	
заказал	0	
с	0	
ускоренной	0	
доставкой	0	
для	0	
ускорения	0	
процесса	0	
оплата	0	
была	0	
card	0	
to	0	
card	0	
но	0	
вообще	0	
вариантов	0	
оплаты	0	
уйма	0	
от	0	
оплаты	0	
до	0	
получения	0	
7	0	
дней	0	
спасибо	0	
спасибо	0	
за	0	
отзыв	0	
желаем	0	
вам	0	
скорее	0	
выздороветь	0	
"		
"	0	
к	0	
сожалению	0	
мы	0	
ни	0	
как	0	
не	0	
способны	0	
решить	0	
вопрос	0	
с	0	
компетенцией	0	
сотрудников	0	
банка	0	
посетите	0	
другой	0	
банк	0	
и	0	
успокойтесь	0	
пожалуйста	0	
"		
"	0	
говоря	0	
о	0	
своих	0	
ощущениях	0	
о	0	
препарате	0	
в	0	
небольших	0	
дозировках	0	
по	0	
12	0	
мг	0	
сутки	0	
редко	0	
вызывает	0	
нейролептический	0	
синдром	0	
по	0	
спектру	0	
напоминает	0	
мне	0	
трифтазин	0	
в	0	
облегченном	0	
варианте	0	
достаточно	0	
неплохо	0	
справляется	0	
с	0	
навязчивостями	0	
в	0	
комплексе	0	
с	0	
другими	0	
препаратами	0	
и	0	
хроническими	0	
бредовыми	0	
расстройствами	0	
с	0	
оговоркой	0	
на	0	
то	0	
насколько	0	
вообще	0	
с	0	
ними	0	
можно	0	
справиться	0	
"		
"	0	
другие	0	
антипсихотики	0	
таких	0	
эффектов	0	
не	0	
вызывали	0	
нет	0	
на	0	
акатизию	0	
не	0	
похоже	0	
постоянно	0	
двигаться	0	
мне	0	
не	0	
хотелось	0	
это	0	
было	0	
именно	0	
чувство	0	
внутреннего	0	
беспокойства	0	
и	0	
напряжения	0	
"		
"	0	
орто	0	
сказал	0	
а	0	
27	0	
11	0	
2008	0	
19	0	
59	0	
на	0	
рынок	0	
снова	0	
вернулся	0	
алимемазин	0	
раньше	0	
терален	0	
назывался	0	
хотелось	0	
бы	0	
узнать	0	
ваше	0	
мнение	0	
кто	0	
принимал	0	
в	0	
своей	0	
практике	0	
что	0	
хорошего	0	
что	0	
плохого	0	
это	0	
тот	0	
редкий	0	
случай	0	
когда	0	
антипсихотик	0	
оставил	0	
самые	0	
приятные	0	
впечатления	0	
к	0	
сожалению	0	
про	0	
моно	0	
терапию	0	
рассказать	0	
не	0	
могу	0	
т	0	
к	0	
принимал	0	
его	0	
совместно	0	
с	0	
антидепрессантами	0	
орто	0	
а	0	
где	0	
его	0	
можно	0	
приобрести	0	
не	0	
подскажете	0	
"		
"	0	
уважаемые	0	
врачи	0	
и	0	
пациенты	0	
кто	0	
нибудь	0	
наблюдал	0	
или	0	
испытывал	0	
нейролепсию	0	
при	0	
приеме	0	
рисперидона	0	
если	0	
да	0	
то	0	
какой	0	
именно	0	
форме	0	
рисполепт	0	
риссет	0	
сперидан	0	
торендо	0	
и	0	
т	0	
д	0	
и	0	
в	0	
каком	0	
именно	0	
виде	0	
она	0	
проявлялапсь	0	
"		
"	0	
добрый	0	
день	0	
хочу	0	
поделиться	0	
опытом	0	
покупки	0	
nostrum	0	
impex	0	
внес	0	
предоплату	0	
лекарства	0	
пришли	0	
в	0	
оговоренный	0	
срок	0	
если	0	
не	0	
ошибаюсь	0	
в	0	
течении	0	
15	0	
дней	0	
но	0	
это	0	
мелочи	0	
самое	0	
главное	0	
что	0	
я	0	
сдал	0	
анализы	0	
и	0	
вирус	0	
не	0	
обнаружен	0	
спасибо	0	
nostrum	0	
impex	0	
"		
"	0	
масловы	0	
10	0	
февраль	0	
2021	0	
0	0	
58	0	
писал	0	
ой	0	
да	0	
не	0	
правильно	0	
написала	0	
а	0	
вы	0	
про	0	
данный	0	
препарат	0	
не	0	
слышали	0	
как	0	
он	0	
в	0	
монорежиме	0	
по	0	
токсичности	0	
нет	0	
не	0	
слышала	0	
к	0	
сожалению	0	
"		
"	0	
если	0	
нет	0	
связи	0	
пишите	0	
в	0	
телеграм	0	
"		
"	0	
машакрасотка	0	
18	0	
июль	0	
2019	0	
14	0	
18	0	
писал	0	
здравствуйте	0	
уважаемые	0	
форумчане	0	
у	0	
мужа	0	
рак	0	
поджелудочной	0	
железы	0	
выведен	0	
дренаж	0	
желчного	0	
протока	0	
он	0	
зафиксирован	0	
ниже	0	
места	0	
выведения	0	
специальной	0	
наклейкой	0	
в	0	
форме	0	
бабочки	0	
не	0	
знаю	0	
как	0	
фото	0	
прикрепить	0	
никак	0	
не	0	
могу	0	
найти	0	
где	0	
купить	0	
новую	0	
может	0	
кто	0	
подскажет	0	
мы	0	
в	0	
москве	0	
заранее	0	
спасибо	0	
всем	0	
здоровья	0	
если	0	
я	0	
правильно	0	
понимаю	0	
о	0	
чем	0	
вы	0	
наверное	0	
таким	0	
же	0	
мужу	0	
крепили	0	
подключичный	0	
катетер	0	
то	0	
такие	0	
пластыри	0	
обычно	0	
продаются	0	
в	0	
магазинах	0	
"		
"	0	
светланав	0	
сказал	0	
а	0	
1	0	
мар	0	
2010	0	
9	0	
51	0	
пп	0	
принимаю	0	
рисполепт	0	
2	0	
месяца	0	
сначала	0	
1	0	
мг	0	
потом	0	
2	0	
мг	0	
до	0	
этого	0	
около	0	
4	0	
х	0	
мес	0	
сероквель	0	
300	0	
очень	0	
набрала	0	
в	0	
весе	0	
15	0	
кг	0	
за	0	
пол	0	
года	0	
по	0	
совету	0	
врача	0	
сдала	0	
прогестерон	0	
в	0	
шоке	0	
при	0	
максимуме	0	
56	0	
у	0	
меня	0	
74	0	
ко	0	
врачу	0	
записана	0	
на	0	
18	0	
е	0	
телефона	0	
нет	0	
это	0	
профессор	0	
и	0	
телефоны	0	
не	0	
дает	0	
в	0	
связи	0	
с	0	
чем	0	
вопросы	0	
1	0	
бросать	0	
эту	0	
дрянь	0	
рисполепт	0	
2	0	
или	0	
прогестерон	0	
необходимо	0	
корректировать	0	
как	0	
и	0	
продолжать	0	
пить	0	
рисполепт	0	
дальше	0	
диагноз	0	
срк	0	
насколько	0	
я	0	
понимаю	0	
препарат	0	
в	0	
моем	0	
случае	0	
вполне	0	
заменим	0	
спасибо	0	
срк	0	
синдром	0	
раздраженного	0	
кишечника	0	
или	0	
что	0	
то	0	
еще	0	
если	0	
да	0	
то	0	
по	0	
видимому	0	
это	0	
маскирующий	0	
диагноз	0	
"		
"	0	
цитата	0	
диагноз	0	
врач	0	
почему	0	
то	0	
объявлять	0	
не	0	
захотел	0	
я	0	
говорил	0	
что	0	
лекарство	0	
мне	0	
не	0	
помогает	0	
делает	0	
еще	0	
более	0	
апатичным	0	
и	0	
вялым	0	
чем	0	
обычно	0	
врач	0	
посоветовал	0	
понизить	0	
дозировку	0	
и	0	
продолжать	0	
лечение	0	
однако	0	
оно	0	
мне	0	
нисколько	0	
не	0	
помогло	0	
в	0	
данной	0	
ситуации	0	
рекомендую	0	
поменять	0	
лечащего	0	
врача	0	
по	0	
возможности	0	
либо	0	
обратиться	0	
на	0	
консультацию	0	
к	0	
сотрудникам	0	
кафедры	0	
психиатрии	0	
цель	0	
консультации	0	
уточнение	0	
диагноза	0	
смена	0	
медикаментозного	0	
лечения	0	
решение	0	
вопроса	0	
о	0	
включении	0	
в	0	
схему	0	
лечения	0	
антидепрессантов	0	
"		
"	0	
nostrum	0	
impex	0	
спасибо	0	
"		
"	0	
я	0	
не	0	
тутошний	0	
но	0	
воспользовался	0	
услугами	0	
этого	0	
продавца	0	
нужно	0	
было	0	
срочно	0	
1	0	
банку	0	
соф	0	
вел	0	
заказал	0	
с	0	
ускоренной	0	
доставкой	0	
для	0	
ускорения	0	
процесса	0	
оплата	0	
была	0	
card	0	
to	0	
card	0	
но	0	
вообще	0	
вариантов	0	
оплаты	0	
уйма	0	
от	0	
оплаты	0	
до	0	
получения	0	
7	0	
дней	0	
спасибо	0	
"		
"	0	
можно	0	
отвар	0	
крапивы	0	
попить	0	
"		
"	0	
здравствуйте	0	
меня	0	
зовут	0	
алексей	0	
я	0	
практикующий	0	
психолог	0	
гештальт	0	
терапевт	0	
опыт	0	
работы	0	
более	0	
5	0	
лет	0	
специализируюсь	0	
на	0	
психосоматических	0	
заболеваниях	0	
в	0	
своей	0	
практике	0	
я	0	
неоднократно	0	
сталкивался	0	
с	0	
феноменом	0	
побочного	0	
действия	0	
психотерапии	0	
который	0	
заключается	0	
в	0	
том	0	
что	0	
при	0	
разрешении	0	
эмоциональной	0	
проблемы	0	
клиента	0	
происходило	0	
излечение	0	
от	0	
хронических	0	
физических	0	
болезней	0	
и	0	
недомоганий	0	
это	0	
на	0	
мой	0	
взгляд	0	
подтверждает	0	
древнейшую	0	
теорию	0	
о	0	
человеке	0	
как	0	
о	0	
целостной	0	
системе	0	
тело	0	
эмоции	0	
мысли	0	
и	0	
нарушения	0	
в	0	
работе	0	
данной	0	
системы	0	
нельзя	0	
рассматривать	0	
как	0	
отдельно	0	
взятое	0	
нарушение	0	
работы	0	
одной	0	
из	0	
частей	0	
этой	0	
системы	0	
более	0	
того	0	
работа	0	
с	0	
одним	0	
из	0	
элемпнтов	0	
системы	0	
тело	0	
эмоции	0	
мысли	0	
оказывает	0	
положительное	0	
влияние	0	
на	0	
всю	0	
систему	0	
в	0	
целом	0	
я	0	
хотел	0	
бы	0	
пригласить	0	
всех	0	
желающих	0	
рассмотреть	0	
и	0	
обсудить	0	
целостный	0	
подход	0	
к	0	
лечению	0	
онкологических	0	
заболеваний	0	
как	0	
реальную	0	
возможность	0	
улучшить	0	
качество	0	
своей	0	
жизни	0	
и	0	
значительно	0	
увеличить	0	
шансы	0	
на	0	
выздоровление	0	
по	0	
моему	0	
опыту	0	
психотерапии	0	
в	0	
людях	0	
живет	0	
такой	0	
сильный	0	
страх	0	
перед	0	
раком	0	
что	0	
как	0	
только	0	
они	0	
узнают	0	
что	0	
у	0	
них	0	
болезнь	0	
онкологического	0	
характера	0	
очень	0	
часто	0	
это	0	
становится	0	
главной	0	
характеристикой	0	
таких	0	
людей	0	
человек	0	
может	0	
выполнять	0	
в	0	
жизни	0	
огромное	0	
число	0	
ролей	0	
быть	0	
родителем	0	
начальником	0	
возлюбленным	0	
может	0	
обладать	0	
какими	0	
угодно	0	
качествами	0	
умом	0	
обаянием	0	
чувством	0	
юмора	0	
но	0	
с	0	
этой	0	
минуты	0	
он	0	
становится	0	
раковым	0	
больным	0	
вся	0	
его	0	
человеческая	0	
сущность	0	
вдруг	0	
заменяется	0	
одним	0	
болезнью	0	
все	0	
окружающие	0	
часто	0	
включая	0	
и	0	
лечащего	0	
врача	0	
замечают	0	
только	0	
одно	0	
физический	0	
факт	0	
онкологического	0	
заболевания	0	
и	0	
все	0	
лечение	0	
адресуется	0	
исключительно	0	
телу	0	
человека	0	
но	0	
не	0	
его	0	
личности	0	
в	0	
центре	0	
теории	0	
целостного	0	
лечения	0	
онкологии	0	
лежит	0	
представление	0	
о	0	
том	0	
что	0	
болезнь	0	
это	0	
не	0	
чисто	0	
физическая	0	
проблема	0	
это	0	
проблема	0	
всей	0	
личности	0	
человека	0	
состоящей	0	
не	0	
только	0	
из	0	
его	0	
тела	0	
но	0	
разума	0	
и	0	
эмоций	0	
эмоциональное	0	
и	0	
интеллектуальное	0	
состояние	0	
играет	0	
существенную	0	
роль	0	
как	0	
в	0	
восприимчивости	0	
к	0	
болезням	0	
включая	0	
рак	0	
так	0	
и	0	
в	0	
избавлении	0	
от	0	
них	0	
часто	0	
рак	0	
свидетельствует	0	
о	0	
том	0	
что	0	
где	0	
то	0	
в	0	
жизни	0	
человека	0	
имелись	0	
нерешенные	0	
проблемы	0	
которые	0	
усилились	0	
или	0	
осложнились	0	
из	0	
за	0	
серии	0	
стрессовых	0	
ситуаций	0	
произошедших	0	
в	0	
период	0	
от	0	
полугода	0	
до	0	
полутора	0	
лет	0	
до	0	
возникновения	0	
рака	0	
типичная	0	
реакция	0	
онкологического	0	
больного	0	
на	0	
эти	0	
проблемы	0	
и	0	
стрессы	0	
заключается	0	
в	0	
ощущении	0	
своей	0	
беспомощности	0	
отказа	0	
от	0	
борьбы	0	
эта	0	
эмоциональная	0	
реакция	0	
приводит	0	
в	0	
действие	0	
ряд	0	
физиологических	0	
процессов	0	
которые	0	
подавляют	0	
естественные	0	
защитные	0	
механизмы	0	
организма	0	
и	0	
создают	0	
условия	0	
способствующие	0	
образованию	0	
атипичных	0	
клеток	0	
в	0	
борьбе	0	
с	0	
болезнью	0	
и	0	
врачи	0	
и	0	
пациенты	0	
должны	0	
учитывать	0	
не	0	
только	0	
то	0	
что	0	
происходит	0	
на	0	
физическом	0	
уровне	0	
но	0	
и	0	
что	0	
особенно	0	
важно	0	
все	0	
происходящее	0	
в	0	
остальной	0	
жизни	0	
человека	0	
одно	0	
только	0	
физическое	0	
воздействие	0	
может	0	
не	0	
привести	0	
к	0	
успешному	0	
результату	0	
эффективная	0	
программа	0	
лечения	0	
должна	0	
обращаться	0	
к	0	
человеку	0	
в	0	
целом	0	
а	0	
не	0	
фиксироваться	0	
только	0	
на	0	
болезни	0	
заранее	0	
благодарен	0	
всем	0	
проявившим	0	
интерес	0	
к	0	
данной	0	
теме	0	
вопросы	0	
можете	0	
задавать	0	
как	0	
здесь	0	
так	0	
и	0	
в	0	
личку	0	
отвечу	0	
всем	0	
не	0	
обещаю	0	
что	0	
быстро	0	
т	0	
к	0	
в	0	
данный	0	
момент	0	
загружен	0	
работой	0	
но	0	
обязательно	0	
отвечу	0	
"		
"	0	
алекс9	0	
принято	0	
"		
"	0	
kengyry	0	
писал	0	
а	0	
17	0	
янв	0	
2019	0	
10	0	
43	0	
nostrum	0	
impex	0	
получила	0	
свою	0	
посылку	0	
вот	0	
мои	0	
лекарства	0	
доброго	0	
времени	0	
суток	0	
а	0	
как	0	
по	0	
вашему	0	
должны	0	
быть	0	
пачки	0	
снизу	0	
запечатаны	0	
это	0	
же	0	
вырубная	0	
форма	0	
которую	0	
делает	0	
типография	0	
потом	0	
на	0	
производстве	0	
пачка	0	
собирается	0	
как	0	
конструктор	0	
и	0	
сверху	0	
заклеевается	0	
голограммой	0	
после	0	
того	0	
как	0	
внутрь	0	
вложена	0	
баночка	0	
с	0	
лекарствами	0	
поэтому	0	
смущаться	0	
нечего	0	
на	0	
самом	0	
деле	0	
все	0	
пачки	0	
так	0	
собираются	0	
выздоравливайте	0	
скорее	0	
"		
"	0	
масловы	0	
15	0	
октябрь	0	
2020	0	
20	0	
30	0	
писал	0	
а	0	
пэт	0	
кт	0	
выявляет	0	
именно	0	
метастазы	0	
нам	0	
его	0	
не	0	
делали	0	
ни	0	
разу	0	
пэт	0	
не	0	
ввявляет	0	
именно	0	
метастазы	0	
она	0	
видит	0	
все	0	
образования	0	
так	0	
же	0	
как	0	
и	0	
кт	0	
и	0	
мрт	0	
ее	0	
обычно	0	
делают	0	
чтобы	0	
посмотреть	0	
все	0	
разом	0	
от	0	
головы	0	
до	0	
середины	0	
бедра	0	
когда	0	
неизвестно	0	
есть	0	
ли	0	
мтс	0	
и	0	
где	0	
их	0	
искать	0	
перед	0	
операцией	0	
или	0	
на	0	
контроле	0	
вроде	0	
как	0	
на	0	
ней	0	
видны	0	
более	0	
мелкие	0	
опухоли	0	
но	0	
тоже	0	
много	0	
зависит	0	
от	0	
врача	0	
но	0	
при	0	
некоторых	0	
видах	0	
рака	0	
она	0	
неэффективна	0	
и	0	
по	0	
нашему	0	
опыту	0	
больше	0	
чем	0	
обычное	0	
кт	0	
она	0	
не	0	
покажет	0	
"		
"	0	
закажи	0	
по	0	
программе	0	
нет	0	
проблем	0	
с	0	
таможней	0	
софосбувир	0	
и	0	
даклатасвир	0	
sofoxen	0	
daclaxen	0	
от	0	
everest	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
400	0	
sofocure	0	
daclacure	0	
от	0	
hetero	0	
emcure	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
450	0	
sofokact	0	
dacikast	0	
от	0	
natco	0	
aprazer	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
470	0	
sofovir	0	
daclahep	0	
от	0	
hetero	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
500	0	
resof	0	
hepcfix	0	
от	0	
hetero	0	
dr	0	
reddy	0	
s	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
480	0	
hepcinat	0	
plus	0	
от	0	
natco	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
530	0	
софосбувир	0	
и	0	
ледипасвир	0	
ledifos	0	
от	0	
hetero	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
530	0	
софосбувир	0	
и	0	
велпатасвир	0	
velpanex	0	
от	0	
everest	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
500	0	
sofocure	0	
v	0	
от	0	
hetero	0	
emcure	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
600	0	
velasof	0	
от	0	
hetero	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
650	0	
velakast	0	
от	0	
natco	0	
aprazer	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
650	0	
velpanat	0	
от	0	
natco	0	
курс	0	
на	0	
12	0	
недель	0	
включая	0	
доставку	0	
700	0	
nostrum	0	
impex	0	
русскоязычная	0	
поддержка	0	
91	0	
9177579117	0	
watsapp	0	
viber	0	
telegram	0	
signal	0	
e	0	
mail	0	
impexnostrum	0	
gmail	0	
com	0	
"		
"	0	
артур1978	0	
писал	0	
а	0	
17	0	
янв	0	
2019	0	
22	0	
49	0	
kengyry	0	
там	0	
на	0	
баночке	0	
по	0	
вертикали	0	
есть	0	
номер	0	
верификации	0	
и	0	
сайт	0	
компании	0	
регистрация	0	
на	0	
сайте	0	
не	0	
требуется	0	
если	0	
что	0	
можно	0	
удостовериться	0	
в	0	
подлинности	0	
препарата	0	
я	0	
покупал	0	
тут	0	
соф	0	
вел	0	
эверест	0	
всё	0	
ок	0	
спасибо	0	
за	0	
отзыв	0	
здоровья	0	
вам	0	
"		
"	0	
добрый	0	
день	0	
я	0	
здесь	0	
бываю	0	
редко	0	
пишите	0	
сразу	0	
на	0	
ватс	0	
ап	0	
или	0	
вайбер	0	
91	0	
9177579117	0	
telegram	0	
e	0	
mail	0	
impexnostrum	0	
gmail	0	
com	0	
акция	0	
к	0	
14	0	
февраля	0	
соф	0	
дак	0	
21	0	
тыс	0	
рублей	0	
на	0	
12	0	
недель	0	
соф	0	
лед	0	
29	0	
тыс	0	
рублей	0	
на	0	
12	0	
недель	0	
соф	0	
вел	0	
34	0	
тыс	0	
рублей	0	
на	0	
12	0	
недель	0	
есть	0	
оплата	0	
разными	0	
способами	0	
дополнительных	0	
расходов	0	
кроме	0	
комиссии	0	
банка	0	
за	0	
перевод	0	
1	0	
5	0	
нет	0	
"		
"	0	
а	0	
почему	0	
операцию	0	
не	0	
делают	0	
если	0	
нет	0	
метастаз	0	
в	0	
конце	0	
концов	0	
пж	0	
просто	0	
удаляют	0	
да	0	
это	0	
сильно	0	
снижает	0	
качество	0	
жизни	0	
постоянные	0	
таблетки	0	
но	0	
человек	0	
живёт	0	
а	0	
про	0	
токсичность	0	
вряд	0	
ли	0	
кто	0	
что	0	
по	0	
делу	0	
скажет	0	
это	0	
дело	0	
индивидуальной	0	
переносимости	0	
"		
"	0	
а	0	
если	0	
сероквель	0	
сравнивать	0	
с	0	
азалептином	0	
кто	0	
что	0	
думает	0	
просто	0	
интересно	0	
с	0	
уважением	0	
павел	0	
"		
"	0	
imiay	0	
а	0	
какое	0	
у	0	
вас	0	
заболевание	0	
"		
"	0	
пропил	0	
сероквель	0	
уже	0	
полтора	0	
года	0	
ещё	0	
пол	0	
годика	0	
думаю	0	
попью	0	
и	0	
начну	0	
закругляться	0	
началось	0	
всё	0	
с	0	
каких	0	
то	0	
белых	0	
пятен	0	
у	0	
меня	0	
в	0	
мозгу	0	
которые	0	
показала	0	
мрт	0	
врачи	0	
голову	0	
ломали	0	
ломали	0	
да	0	
и	0	
отдали	0	
меня	0	
в	0	
психушку	0	
ну	0	
и	0	
слава	0	
богу	0	
кстати	0	
я	0	
с	0	
17	0	
лет	0	
стал	0	
ужасно	0	
агрессивным	0	
очень	0	
злопамятным	0	
легко	0	
заводился	0	
постоянно	0	
разбивал	0	
свои	0	
кулаки	0	
об	0	
стены	0	
шкафы	0	
двери	0	
да	0	
много	0	
чего	0	
поломал	0	
и	0	
однажды	0	
даже	0	
сами	0	
руки	0	
в	0	
психушке	0	
мне	0	
назначили	0	
этот	0	
самый	0	
сероквель	0	
начало	0	
было	0	
не	0	
очень	0	
хорошим	0	
эффект	0	
был	0	
не	0	
таким	0	
как	0	
у	0	
большинства	0	
мой	0	
организм	0	
отчаянно	0	
боролся	0	
против	0	
этого	0	
нейролептика	0	
меня	0	
после	0	
приёма	0	
постоянно	0	
ломало	0	
крутило	0	
я	0	
бесился	0	
но	0	
уже	0	
не	0	
мог	0	
выплеснуть	0	
ярость	0	
наружу	0	
сумасшествие	0	
было	0	
у	0	
меня	0	
в	0	
голове	0	
а	0	
до	0	
тела	0	
сероквель	0	
допускал	0	
только	0	
стандартные	0	
команды	0	
ходить	0	
сидеть	0	
есть	0	
дышать	0	
меня	0	
выворачивало	0	
от	0	
злости	0	
что	0	
меня	0	
блокирует	0	
этот	0	
сероквель	0	
но	0	
я	0	
продолжал	0	
его	0	
пить	0	
в	0	
надежде	0	
на	0	
выздоравливание	0	
и	0	
вот	0	
меня	0	
выписали	0	
я	0	
продолжал	0	
пить	0	
по	0	
200	0	
мг	0	
за	0	
раз	0	
утром	0	
и	0	
вечером	0	
утром	0	
меня	0	
так	0	
клонило	0	
в	0	
сон	0	
что	0	
на	0	
парах	0	
в	0	
универе	0	
я	0	
просто	0	
сидел	0	
в	0	
уголочке	0	
пуская	0	
слюни	0	
учиться	0	
по	0	
утрам	0	
было	0	
невозможно	0	
принимая	0	
же	0	
его	0	
на	0	
ночь	0	
я	0	
часа	0	
полтора	0	
мучался	0	
на	0	
кровати	0	
в	0	
ломках	0	
и	0	
судорогах	0	
всего	0	
крутило	0	
и	0	
о	0	
сне	0	
и	0	
речи	0	
бытьне	0	
могло	0	
но	0	
стоило	0	
встать	0	
с	0	
кровати	0	
и	0	
открыть	0	
глаза	0	
как	0	
тут	0	
же	0	
опять	0	
сильно	0	
хотелось	0	
спать	0	
и	0	
всё	0	
тело	0	
обмякало	0	
шли	0	
месяцы	0	
я	0	
всё	0	
не	0	
сдавался	0	
и	0	
наконец	0	
то	0	
однажды	0	
я	0	
осознал	0	
что	0	
вчера	0	
вечером	0	
я	0	
уснул	0	
безо	0	
всяких	0	
проблем	0	
правда	0	
иногда	0	
если	0	
я	0	
