TOKEN	TOKEN_VECT	POST_NUM	ANIMACY	CASE	GENDER	PERSON	POS	DEPENDENCY	HEAD	HEAD_VECTHEAD_POS	HEAD_ANIMACY	HEAD_CASE	HEAD_GENDER	HEAD_POS	SENT_VECTOR	HEAD_CHILDS_VECT	NER	COREFERENCE_CLUSTER	HEAD_VECT	
хорошего	1.0196352005004883	11	-	gent	neut	-	ADJF	amod	Это		-	-	-	PRCL	0.0816718487213144	0.3831315338611603	0	0	-0.0008505526930093765	
что	-0.33889976143836975	11	-	-	-	-	CONJ	mark	Это		-	-	-	PRCL	0.0816718487213144	0.3831315338611603	0	0	-0.0008505526930093765	
плохого	0.4686591625213623	11	-	gent	neut	-	ADJF	amod	Это		-	-	-	PRCL	0.0816718487213144	0.3831315338611603	0	0	-0.0008505526930093765	
Это	0.08339562267065048	11	-	-	-	-	PRCL	nsubj	случай		inan	nomn	masc	NOUN	0.0816718487213144	0.05939306765794754	0	0	0.4421023428440094	
тот	0.10557149350643158	11	-	nomn	masc	-	ADJF	det	случай		inan	nomn	masc	NOUN	0.0816718487213144	0.05939306765794754	0	0	0.4421023428440094	
редкий	0.35457557439804077	11	-	nomn	masc	-	ADJF	amod	случай		inan	nomn	masc	NOUN	0.0816718487213144	0.05939306765794754	0	0	0.4421023428440094	
случай	0.4421023428440094	11	inan	nomn	masc	-	NOUN	obj	принимал		-	-	masc	VERB	0.0816718487213144	0.14443550404394045	0	0	0.2006116509437561	
когда	0.11845718324184418	11	-	-	-	-	CONJ	mark	оставил		-	-	masc	VERB	0.0816718487213144	0.05079173296689987	0		0.09232240915298462	
антипсихотик	-0.1597583293914795	11	anim	nomn	masc	-	NOUN	nsubj	оставил		-	-	masc	VERB	0.0816718487213144	0.05079173296689987	0	алимемазин	0.09232240915298462	
оставил	0.09232240915298462	11	-	-	masc	-	VERB	acl:relcl	случай		inan	nomn	masc	NOUN	0.0816718487213144	0.05939306765794754	0	0	0.4421023428440094	
самые	0.6254194974899292	11	-	nomn	-	-	ADJF	amod	приятные		-	nomn	-	ADJF	0.0816718487213144	0.6254194974899292	0	0	0.8190045952796936	
приятные	0.8190045952796936	11	-	nomn	-	-	ADJF	amod	впечатления		inan	nomn	neut	NOUN	0.0816718487213144	0.8190045952796936	0	0	0.43127554655075073	
впечатления	0.43127554655075073	11	inan	nomn	neut	-	NOUN	obj	оставил		-	-	masc	VERB	0.0816718487213144	0.05079173296689987	0	0	0.09232240915298462	
к	-0.23654234409332275	11	-	-	-	-	PREP	case	сожалению		inan	datv	neut	NOUN	0.0816718487213144	-0.06920136511325836	0	0	0.182120680809021	
сожалению	0.182120680809021	11	inan	datv	neut	-	NOUN	obl	оставил		-	-	masc	VERB	0.0816718487213144	0.05079173296689987	0	0	0.09232240915298462	
про	-0.42673587799072266	11	-	-	-	-	PREP	case	моно		inan	nomn	neut	NOUN	0.0816718487213144	-0.22009646240621805	0	0	0.09813961386680603	
моно	0.09813961386680603	11	inan	nomn	neut	-	NOUN	nmod	сожалению		inan	datv	neut	NOUN	0.0816718487213144	-0.06920136511325836	0	0	0.182120680809021	
терапию	-0.013457046821713448	11	inan	accs	femn	-	NOUN	nmod	моно		inan	nomn	neut	NOUN	0.0816718487213144	-0.22009646240621805	0	0	0.09813961386680603	
рассказать	0.2967877686023712	11	-	-	-	-	INFN	xcomp	могу		-	-	-	VERB	0.0816718487213144	-0.025533586740493774	0	0	-0.4679563343524933	
не	-0.34785494208335876	11	-	-	-	-	PRCL	advmod	могу		-	-	-	VERB	0.0816718487213144	-0.025533586740493774	0	0	-0.4679563343524933	
могу	-0.4679563343524933	11	-	-	-	1per	VERB	ccomp	оставил		-	-	masc	VERB	0.0816718487213144	0.05079173296689987	0	0	0.09232240915298462	
т	-0.14908945560455322	11	-	-	-	-	ADVB	cc	принимал		-	-	masc	VERB	0.0816718487213144	-0.05059462934732437	0	0	0.2006116509437561	
к	-0.23654234409332275	11	-	-	-	-	PREP	advmod	принимал		-	-	masc	VERB	0.0816718487213144	-0.05059462934732437	0	0	0.2006116509437561	
принимал	0.2006116509437561	11	-	-	masc	-	VERB	conj	оставил		-	-	masc	VERB	0.0816718487213144	0.05079173296689987	0		0.09232240915298462	
его	0.009075403213500977	11	-	accs	masc	3per	NPRO	obj	принимал		-	-	masc	VERB	0.0816718487213144	-0.05059462934732437	0	алимемазин	0.2006116509437561	
совместно	0.2315727174282074	11	-	-	-	-	ADVB	advmod	принимал		-	-	masc	VERB	0.0816718487213144	-0.05059462934732437	0	0	0.2006116509437561	
с	-0.303444504737854	11	-	-	-	-	PREP	case	антидепрессантами		inan	ablt	masc	NOUN	0.0816718487213144	-0.12058846466243267	0	0	0.20646671950817108	
антидепрессантами	0.20646671950817108	11	inan	ablt	masc	-	NOUN	obl	совместно		-	-	-	ADVB	0.0816718487213144	0.20646671950817108	0	0	0.2315727174282074	
Орто	0.06226757541298866	11	-	-	neut	-	ADJS	appos	антидепрессантами		inan	ablt	masc	NOUN	0.0816718487213144	-0.12058846466243267	0	0	0.20646671950817108	
а	-0.466221421957016	11	-	-	-	-	CONJ	cc	можно		-	-	-	PRED	0.0816718487213144	-0.06938820332288742	0	0	-0.10798946768045425	
где	-0.16874316334724426	11	-	-	-	-	ADVB	advmod	можно		-	-	-	PRED	0.0816718487213144	-0.06938820332288742	0	0	-0.10798946768045425	
его	0.009075403213500977	11	-	accs	masc	3per	NPRO	obj	можно		-	-	-	PRED	0.0816718487213144	-0.06938820332288742	0	алимемазин	-0.10798946768045425	
можно	-0.10798946768045425	11	-	-	-	-	PRED	parataxis	принимал		-	-	masc	VERB	0.0816718487213144	-0.05059462934732437	0	0	0.2006116509437561	
приобрести	0.3483363687992096	11	-	-	-	-	INFN	csubj	можно		-	-	-	PRED	0.0816718487213144	-0.06938820332288742	0	0	-0.10798946768045425	
не	-0.34785494208335876	11	-	-	-	-	PRCL	advmod	приобрести		-	-	-	INFN	0.0816718487213144	-0.34785494208335876	0	0	0.3483363687992096	
подскажете	-0.1075252965092659	11	-	-	-	2per	VERB	punct	принимал		-	-	masc	VERB	0.0816718487213144	0.14443550404394045	0	0	0.2006116509437561	
В	0.28417888283729553	12	-	-	-	-	PREP	case	Волгограде		inan	loct	masc	NOUN	0.07559546120464802	0.28417888283729553	0	0	0.24529537558555603	
Волгограде	0.36132559180259705	12	inan	loct	masc	-	NOUN	obl	есть		-	-	-	INFN	0.07559546120464802	0.11655888706445694	0	0	0.040894124656915665	
есть	0.040894124656915665	12	-	-	-	-	INFN	ROOT	есть		-	-	-	INFN	0.07559546120464802	0.11655888706445694	0	0	0.040894124656915665	
почти	0.37003982067108154	12	-	-	-	-	ADVB	advmod	аптеках		inan	loct	femn	NOUN	0.07559546120464802	0.4090563456217448	0	0	0.16436919569969177	
во	0.4882548749446869	12	-	-	-	-	PREP	case	аптеках		inan	loct	femn	NOUN	0.07559546120464802	0.4090563456217448	0	0	0.16436919569969177	
всех	0.36887434124946594	12	-	gent	-	-	ADJF	det	аптеках		inan	loct	femn	NOUN	0.07559546120464802	0.4090563456217448	0	0	0.16436919569969177	
аптеках	0.16436919569969177	12	inan	loct	femn	-	NOUN	obl	стоит		-	-	-	VERB	0.07559546120464802	0.16436919569969177	0	0	-0.12820781767368317	
стоит	-0.12820781767368317	12	-	-	-	-	VERB	conj	есть		-	-	-	INFN	0.07559546120464802	0.11655888706445694	0	0	0.040894124656915665	
80	-0.4156872034072876	12	-	-	-	-	-	nummod	руб		inan	nomn	masc	NOUN	0.07559546120464802	-0.4156872034072876	0	0	-0.7780871987342834	
руб	-0.7780871987342834	12	inan	nomn	masc	-	NOUN	ROOT	руб		inan	nomn	masc	NOUN	0.07559546120464802	-0.4156872034072876	0	0	-0.7780871987342834	
Мы	0.5289822816848755	12	-	nomn	-	1per	NPRO	nsubj	применяемм		inan	gent	femn	NOUN	0.06769369382943426	0.08736828044056892	0	0	-0.24716442823410034	
его	0.009075403213500977	12	-	accs	masc	3per	NPRO	det	применяемм		inan	gent	femn	NOUN	0.06769369382943426	0.08736828044056892	0	алимемазин	-0.24716442823410034	
применяемм	-0.24716442823410034	12	inan	gent	femn	-	NOUN	ROOT	применяемм		inan	gent	femn	NOUN	0.06769369382943426	0.08736828044056892	0	0	-0.24716442823410034	
в	0.28417888283729553	12	-	-	-	-	PREP	case	основном		inan	loct	neut	NOUN	0.06769369382943426	0.28417888283729553	0	0	0.30489057302474976	
основном	0.30489057302474976	12	inan	loct	neut	-	NOUN	obl	применяемм		inan	gent	femn	NOUN	0.06769369382943426	0.08736828044056892	0	0	-0.24716442823410034	
как	-0.46102669835090637	12	-	-	-	-	CONJ	fixed	применяемм		inan	gent	femn	NOUN	0.06769369382943426	0.08736828044056892	0	0	-0.24716442823410034	
вегетостабилизатор	0.05491984263062477	12	inan	nomn	masc	-	NOUN	punct	применяемм		inan	gent	femn	NOUN	0.06769369382943426	0.08736828044056892	0	0	-0.24716442823410034	
прекрасный	0.26206421852111816	13	-	nomn	masc	-	ADJF	amod	препарат		inan	nomn	masc	NOUN	0.21294014368738448	0.26206421852111816	0	0	-0.23725484311580658	
препарат	-0.23725484311580658	13	inan	nomn	masc	-	NOUN	nsubj:pass	особено		-	-	neut	PRTS	0.21294014368738448	0.033691701789697014	0	алимемазин	0.67240309715271	
особено	0.67240309715271	13	-	-	neut	-	PRTS	ROOT	особено		-	-	neut	PRTS	0.21294014368738448	0.033691701789697014	0	0	0.67240309715271	
при	0.03251374512910843	13	-	-	-	-	PREP	case	сенесто		inan	nomn	femn	NOUN	0.21294014368738448	0.03251374512910843	0	0	0.04802943021059036	
сенесто	0.04802943021059036	13	inan	nomn	femn	-	NOUN	obl	особено		-	-	neut	PRTS	0.21294014368738448	0.033691701789697014	0	0	0.67240309715271	
ипохондрических	0.4225248396396637	13	-	gent	-	-	ADJF	amod	расстройствах		inan	loct	neut	NOUN	0.21294014368738448	0.4225248396396637	0	0	0.29030051827430725	
расстройствах	0.29030051827430725	13	inan	loct	neut	-	NOUN	obl	особено		-	-	neut	PRTS	0.21294014368738448	0.033691701789697014	0	0	0.67240309715271	
Наконец	0.03423840552568436	13	-	-	-	-	ADVB	advmod	начинают		-	-	-	VERB	0.05498568620532751	0.44408369312683743	0	0	0.3162849247455597	
начинают	0.3162849247455597	13	-	-	-	3per	VERB	ROOT	начинают		-	-	-	VERB	0.05498568620532751	0.44408369312683743	0	0	0.3162849247455597	
сознавать	0.8759510517120361	13	-	-	-	-	INFN	xcomp	начинают		-	-	-	VERB	0.05498568620532751	0.44408369312683743	0	0	0.3162849247455597	
что	-0.33889976143836975	13	-	-	-	-	CONJ	mark	значит		-	-	-	CONJ	0.05498568620532751	-0.21850150326887766	0	0	-0.5531460046768188	
старое	0.03125019371509552	13	inan	accs	neut	-	NOUN	nsubj	значит		-	-	-	CONJ	0.05498568620532751	-0.21850150326887766	0	0	-0.5531460046768188	
не	-0.34785494208335876	13	-	-	-	-	PRCL	advmod	значит		-	-	-	CONJ	0.05498568620532751	-0.21850150326887766	0	0	-0.5531460046768188	
значит	-0.5531460046768188	13	-	-	-	-	CONJ	ccomp	сознавать		-	-	-	INFN	0.05498568620532751	-0.5531460046768188	0	0	0.8759510517120361	
плохое	0.42206162214279175	13	-	nomn	neut	-	ADJF	punct	начинают		-	-	-	VERB	0.05498568620532751	0.44408369312683743	0	0	0.3162849247455597	
Easy	-0.40582695603370667	14	-	-	-	-	-	nsubj	сказал		-	-	masc	VERB	-0.05261304733775011	-0.02374996989965439	0	0	-0.37594228982925415	
сказал	-0.37594228982925415	14	-	-	masc	-	VERB	ROOT	сказал		-	-	masc	VERB	-0.05261304733775011	-0.02374996989965439	0	0	-0.37594228982925415	
а	-0.466221421957016	14	-	-	-	-	CONJ	cc	случай		inan	nomn	masc	NOUN	-0.05261304733775011	0.03392873555421829	0	0	0.4421023428440094	
28	-0.5716249942779541	14	-	-	-	-	-	nummod	11		-	-	-	-	-0.05261304733775011	-0.5341795086860657	0	0	-0.12988652288913727	
11	-0.12988652288913727	14	-	-	-	-	-	nummod	19		-	-	-	-	-0.05261304733775011	-0.1891307383775711	0	0	-0.6393864750862122	
2008	-0.49673402309417725	14	-	-	-	-	-	flat	11		-	-	-	-	-0.05261304733775011	-0.5341795086860657	0	0	-0.12988652288913727	
13	-0.24837495386600494	14	-	-	-	-	-	nummod	19		-	-	-	-	-0.05261304733775011	-0.1891307383775711	0	0	-0.6393864750862122	
19	-0.6393864750862122	14	-	-	-	-	-	nummod	Это		-	-	-	PRCL	-0.05261304733775011	-0.6393864750862122	0	0	-0.0008505526930093765	
Это	0.08339562267065048	14	-	-	-	-	PRCL	nsubj	случай		inan	nomn	masc	NOUN	-0.05261304733775011	0.03392873555421829	0	0	0.4421023428440094	
тот	0.10557149350643158	14	-	nomn	masc	-	ADJF	det	случай		inan	nomn	masc	NOUN	-0.05261304733775011	0.03392873555421829	0	0	0.4421023428440094	
редкий	0.35457557439804077	14	-	nomn	masc	-	ADJF	amod	случай		inan	nomn	masc	NOUN	-0.05261304733775011	0.03392873555421829	0	0	0.4421023428440094	
случай	0.4421023428440094	14	inan	nomn	masc	-	NOUN	obj	сказал		-	-	masc	VERB	-0.05261304733775011	-0.02374996989965439	0	0	-0.37594228982925415	
когда	0.11845718324184418	14	-	-	-	-	CONJ	mark	оставил		-	-	masc	VERB	-0.05261304733775011	0.05079173296689987	0	0	0.09232240915298462	
антипсихотик	-0.1597583293914795	14	anim	nomn	masc	-	NOUN	nsubj	оставил		-	-	masc	VERB	-0.05261304733775011	0.05079173296689987	0	алимемазин	0.09232240915298462	
оставил	0.09232240915298462	14	-	-	masc	-	VERB	acl:relcl	случай		inan	nomn	masc	NOUN	-0.05261304733775011	0.03392873555421829	0	0	0.4421023428440094	
самые	0.6254194974899292	14	-	nomn	-	-	ADJF	amod	приятные		-	nomn	-	ADJF	-0.05261304733775011	0.6254194974899292	0	0	0.8190045952796936	
приятные	0.8190045952796936	14	-	nomn	-	-	ADJF	amod	впечатления		inan	nomn	neut	NOUN	-0.05261304733775011	0.8190045952796936	0	0	0.43127554655075073	
впечатления	0.43127554655075073	14	inan	nomn	neut	-	NOUN	obj	оставил		-	-	masc	VERB	-0.05261304733775011	0.05079173296689987	0	0	0.09232240915298462	
к	-0.23654234409332275	14	-	-	-	-	PREP	case	сожалению		inan	datv	neut	NOUN	-0.05261304733775011	-0.06920136511325836	0	0	0.182120680809021	
сожалению	0.182120680809021	14	inan	datv	neut	-	NOUN	obl	оставил		-	-	masc	VERB	-0.05261304733775011	0.05079173296689987	0	0	0.09232240915298462	
про	-0.42673587799072266	14	-	-	-	-	PREP	case	моно		inan	nomn	neut	NOUN	-0.05261304733775011	-0.22009646240621805	0	0	0.09813961386680603	
моно	0.09813961386680603	14	inan	nomn	neut	-	NOUN	nmod	сожалению		inan	datv	neut	NOUN	-0.05261304733775011	-0.06920136511325836	0	0	0.182120680809021	
терапию	-0.013457046821713448	14	inan	accs	femn	-	NOUN	nmod	моно		inan	nomn	neut	NOUN	-0.05261304733775011	-0.22009646240621805	0	0	0.09813961386680603	
рассказать	0.2967877686023712	14	-	-	-	-	INFN	xcomp	могу		-	-	-	VERB	-0.05261304733775011	-0.025533586740493774	0	0	-0.4679563343524933	
не	-0.34785494208335876	14	-	-	-	-	PRCL	advmod	могу		-	-	-	VERB	-0.05261304733775011	-0.025533586740493774	0	0	-0.4679563343524933	
могу	-0.4679563343524933	14	-	-	-	1per	VERB	ccomp	оставил		-	-	masc	VERB	-0.05261304733775011	0.05079173296689987	0	0	0.09232240915298462	
т	-0.14908945560455322	14	-	-	-	-	ADVB	cc	принимал		-	-	masc	VERB	-0.05261304733775011	-0.05059462934732437	0	0	0.2006116509437561	
к	-0.23654234409332275	14	-	-	-	-	PREP	advmod	принимал		-	-	masc	VERB	-0.05261304733775011	-0.05059462934732437	0	0	0.2006116509437561	
принимал	0.2006116509437561	14	-	-	masc	-	VERB	conj	оставил		-	-	masc	VERB	-0.05261304733775011	0.05079173296689987	0	0	0.09232240915298462	
его	0.009075403213500977	14	-	accs	masc	3per	NPRO	obj	принимал		-	-	masc	VERB	-0.05261304733775011	-0.05059462934732437	0	алимемазин	0.2006116509437561	
