token	entity	coreference_cluster	1 – препарат, 2 – кандидат в анафоры
2020			
07:55			
"
"			
Добавлена			
ссылка			
на			
ролик			
в			
You			
Tube			
"
"			
Орто			
сказал(а			
27.11.2008			
19:59			
"
"			
На			
рынок			
снова			
вернулся			
алимемазин	1	алимемазин	
раньше			
терален	1	терален	
назывался			
Хотелось			
бы			
узнать			
Ваше			
мнение			
Кто			
принимал			
в			
своей			
практике			
что			
хорошего			
что			
плохого			
"

"			
Это			
тот			
редкий			
случай			
когда	1	алимемазин	
антипсихотик			
оставил			
самые			
приятные			
впечатления			
к			
сожалению			
про			
моно			
терапию			
рассказать			
не			
могу			
т.к			
принимал			
его			
совместно			
с			
антидепрессантами			
"
"			
Орто			
а			
где			
его	1	алимемазин	
можно			
приобрести			
не			
подскажете			
"
"			
В			
Волгограде			
есть			
почти			
во			
всех			
аптеках			
стоит			
80			
руб			
Мы			
его	1	алимемазин	
применяемм			
в			
основном			
как			
вегетостабилизатор	2	алимемазин	
....			
"
"			
прекрасный			
препарат	1	алимемазин	
особено			
при	2	алимемазин	
сенесто	2	алимемазин	
ипохондрических	2	алимемазин	
расстройствах			
Наконец			
начинают			
сознавать			
что			
старое-			
не			
значит			
плохое			
"
"			
Easy			
сказал(а			
28.11.2008			
13:19			
"
"			
Это			
тот			
редкий			
случай			
когда			
антипсихотик	1	алимемазин	
оставил			
самые			
приятные			
впечатления			
к			
сожалению			
про			
моно			
терапию			
рассказать			
не			
могу			
т.к			
принимал			
его			
совместно			
с			
антидепрессантами			
"
"			
Орто			
а			
где			
его	1	алимемазин	
можно			
приобрести			
не			
подскажете			
В			
Москве			
продается			
http://aptekamos.ru/...ed.jsp?id=48441			
"
"			
Прекраная			
замена	1	алимемазин	
опротивевшему			
сонапаксу			
...			
"
"			
На			
меня			
он	1	алимемазин	
произвёл			
УЖАСНОЕ			
действие			
Сначала			
стала			
в			
туалет			
редко			
ходить			
вся			
опухла			
потом			
в			
ушах			
звенеть			
начало			
сердце			
стало			
болеть			
А			
на			
третий			
день			
ночь			
стали			
болеть			
все			
органы			
ЖКТ			
Открылась			
язва			
и			
стало			
невозможно			
глотать			
болел			
живот			
Ужасные			
боли			
были			
я			
даже			
несколько			
раз			
теряла			
сознание			
...			
"
"			
А			
доктор			
обещал			
что			
это			
лекарство			
востанови			
мне			
сон			
"
"			
Так			
понимаю			
что			
врач			
просто			
глумился			
надо			
мной			
..			
"
"			
Динка			
сказал(а			
29			
Сен			
2009			
5:26			
ПП			
"
"			
На			
меня			
он	1	алимемазин	
произвёл			
УЖАСНОЕ			
действие			
Сначала			
стала			
в			
туалет			
редко			
ходить			
вся			
опухла			
потом			
в			
ушах			
звенеть			
начало			
сердце			
стало			
болеть			
А			
на			
третий			
день			
ночь			
стали			
болеть			
все			
органы			
ЖКТ			
Открылась			
язва			
и			
стало			
невозможно			
глотать			
болел			
живот			
Ужасные			
боли			
были			
я			
даже			
несколько			
раз			
теряла			
сознание			
...			
"
"			
А			
доктор			
обещал			
что			
это			
лекарство			
востанови			
мне			
сон			
"
"			
Так			
понимаю			
что			
врач			
просто			
глумился			
надо			
мной			
..			
"

"			
С			
какой			
целью			
позвольте			
поинтересоваться			
глумится			
Или			
делать			
ему			
нечего			
Такие			
побочные			
действия			
вполне			
возможны			
"
"			
Имел			
ли			
кто			
нибудь			
опыт			
совмещения			
велаксина	1	велаксин	
с			
тералидженом	1	велаксин	
"
"			
Принимал			
порядка			
2			
3			
недель			
от			
10			
до			
20			
мг			
Алимемазина	1	алимемазин	
совместно			
с			
200			
мг			
Азалептина	1	алимемазин	
и			
30			
мг			
Ремерона	1	ремерон	
Всё	1	ремерон, азамазин, азалептин	
это	1	ремерон, азамазин, азалептин	
принималось			
за			
полчаса			
до			
сна			
Лично			
я			
не			
почувствовал			
действие			
Тералиджена	1	тералиджен	
словно			
и			
не			
принимал			
его	1	тералиджен	
вовсе			
Мою			
довольно			
средневзвешенную	2	тералиджен	
ипохондрию	2	тералиджен	
он			
не			
купировал			
равно			
как			
и			
депрессивные	2	тералиджен	
симптомы	2	тералиджен	
"
"			
Ведутся			
клинические			
исследования			
в			
том			
числе			
в			
России			
по			
атипичному			
нейролептику	1	карипразин	
карипразин	1	карипразин	
который			
является			
агонистом			
D3			
D2-рецепторов			
Пока			
результаты			
весьма			
обнадеживающие			
Вот			
новость			
Может			
через			
некоторое			
время			
ряд			
атипиков	1		
пополнится			
новым			
средством	1	карипразин	
"
"			
Уже			
продается	1	карипразин	
Штука			
баксов			
за			
30			
таблеток			
Упор			
как			
я			
понял			
сделан			
на			
негативную			
симптоматику			
Вот			
тут			
немного			
про			
него			
"
"			
Новейший			
препарат	1	карипразин	
намного			
болеее			
эффективен			
чем			
рисперидон	1	рисперидон	
при			
лечении			
негативной			
симптоматики			
"
  "			
http://www.medscape			
....			
warticle/850701			
"
"			
Вполне			
логично			
"
"			
Вот			
бы			
попробовать			
...			
Лет			
через			
5			
наверное			
в			
Украине			
появится	1	карипразин	
"
"			
Кто			
нибудь			
уже			
пробовал	1	карипразин	
"
"			
В			
маскве			
есть	1	карипразин	
"
"			
djtim			
сказал(а			
20			
Сен			
2019			
4:59			
ПП			
"
"			
В			
маскве			
есть	1	карипразин	
Пока			
нигде			
нет			
Здравсити			
продаёт	1	карипразин	
но			
хз			
откуда			
они			
взяли			
И			
психушки			
потихоньку			
закупают			
его	1	карипразин	
"
"			
Решил			
взять			
его	1	карипразин	
на			
здравсити			
В			
Питере			
на			
момент			
заказа			
было			
в			
наличии			
только			
6	1	карипразин	
мг			
за			
11т.р			
на			
следующий			
день			
появилось			
3	1	карипразин	
мг			
твою			
мать			
но			
если			
пить			
самую			
минимальную			
дозу			
3	1	карипразин	
мг			
то			
получается			
даже			
дешевле			
Сегодня			
выпил			
первые	1	карипразин	
1.5			
мг			
пока			
сильного			
какого			
то			
эффекта			
не			
чувствуется			
но			
он			
должен			
ещё			
накопиться			
в			
течение			
недели			
тогда			
и			
надо			
смотреть			
стоит			
ли			
повышать	1	карипразин	
"
"			
Он	1	карипразин	
только			
в			
капсулах			
"
"			
Ведутся			
клинические			
исследования			
в			
том			
числе			
в			
России			
по			
атипичному			
нейролептику			
карипразин	1	карипразин	
который			
является			
агонистом			
D3			
D2-рецепторов			
Пока			
результаты			
весьма			
обнадеживающие			
Вот			
новость			
Может			
через			
некоторое			
время			
ряд			
атипиков			
пополнится			
новым			
средством			
"
"			
Уже			
продается			
Штука			
баксов			
за			
30	1	карипразин	
таблеток			
Упор			
как			
я			
понял			
сделан			
на			
негативную			
симптоматику			
Вот			
тут			
немного			
про			
него	1	карипразин	
"
"			
Новейший			
препарат	1	карипразин	
намного			
болеее			
эффективен			
чем			
рисперидон	1	рисперидон	
при			
лечении			
негативной			
симптоматики			
"
  "			
http://www.medscape			
....			
warticle/850701			
"
"			
Вполне			
логично			
"
"			
Вот			
бы			
попробовать	1	карипразин	
...			
Лет			
через			
5			
наверное			
в			
Украине			
появится			
"
"			
Кто			
нибудь			
уже			
пробовал	1	карипразин	
"
"			
В			
маскве			
есть			
"
"			
djtim			
сказал(а			
20			
Сен			
2019			
4:59			
ПП			
"
"			
В			
маскве			
есть			
Пока			
нигде			
нет			
Здравсити			
продаёт	1	карипразин	
но			
хз			
откуда			
они			
взяли	1	карипразин	
И			
психушки			
потихоньку			
закупают			
его	1	карипразин	
"
"			
Решил			
взять			
его	1	карипразин	
на			
здравсити			
В			
Питере			
на			
момент			
заказа			
было			
в			
наличии			
только			
6	1	карипразин	
мг			
за			
11т.р			
на			
следующий			
день			
появилось			
3	1	карипразин	
мг			
твою			
мать			
но			
если			
пить			
самую			
минимальную			
дозу			
3	1	карипразин	
мг			
то			
получается			
даже			
дешевле			
Сегодня			
выпил			
первые			
1.5			
мг			
пока			
сильного			
какого			
то			
эффекта			
не			
чувствуется			
но			
он			
должен			
ещё			
накопиться			
в			
течение			
недели			
тогда			
и			
надо			
смотреть			
стоит			
ли			
повышать			
"
"			
Он			
только			
в			
капсулах			
"
"			
Вроде			
да			
"
"			
Сегодня			
было			
хреново			
после			
принятия			
очередной			
дозы	1	карипразин	
появилась			
физическая			
слабость(нечто			
подобное			
у			
меня			
было			
на			
инвеге	1	инвега	
К			
вечеру			
стало			
лучше(правда			
в			
сочетании			
с			
прегабалином	1	прегабалин	
Из			
положительных			
моментов			
уже			
чувствуется			
прокогнитивный			
эффект			
зрение			
стало			
четким			
После			
принятия			
прегабалина	1	прегабалин	
настроение			
первое			
время			
так			
вообще			
повышенное			
Пока			
напрягает			
только			
слабость			
"
"			
Цитата			
"
"			
появилась			
физическая			
слабость			
"
  "			
Это			
от			
блокады			
адренорецепторов			
Может			
быть			
пройдёт			
"
"			
Принемал			
2			
месяца			
по			
1.5	1	карипразин	
мг			
Эфекта			
к			
сожалению			
не			
было			
Через			
меяц			
приема			
неделю			
была			
сильная			
бессонница			
Пробывал			
пить			
3	1	карипразин	
мг			
но			
усил			
затормож			
Он	1	карипразин	
долго			
накапливается			
и			
надо			
долго			
ждать			
прежде			
чем			
понимать			
есть			
эфект			
или			
нет			
"
"			
Принимали			
в			
моно			
или			
на			
фоне			
АД	1	антидипрессанты	
"
"			
Моно			
принимал	1	карипразин	
Еще			
из			
побочек			
давал	1	карипразин	
по			
утрам			
сильную			
тревогу			
"
"			
Похоже			
он	1	карипразин	
у			
меня			
работает			
как			
аугментация			
к			
АД	1	антидипрессанты	
Сегодня			
повысил			
ципралекс	1	ципралекс	
до			
10			
мг			
сначала			
размазало			
а			
сейчас			
вечером			
прям			
норм			
стало			
даже			
повышенное			
настроение			
и			
голова			
заработала			
Кстати			
какой			
ад	1	антидипрессанты	
на			
либидыч			
меньше			
воздействует			
ципра	1	ципралекс	
или			
сертралин	1	серталин	
"
"			
возможно			
сертралин	1	серталин	
"
"			
Из			
побочек			
добавилась			
бессонница			
"
"			
Я			
для			
сна			
при			
приеме			
карипразина	1	карипразин	
пил			
еще			
1/4			
тизирцина	1	тизирцин	
для			
сна			
впринципе			
работало			
но			
неделе			
через			
2			
появилась			
бессонница			
мог			
спать			
по			
3			
часа			
Или			
не			
мог			
долго			
уснуть			
Из			
побочек			
еще			
тревога			
сильная			
была			
Он	1	карипразин	
вообще			
препарат			
стимулирующий			
"
"			
Обсуждаем			
препарат	1	сероквель	
Сероквель	1	сероквель	
Кветиапин			
"
"			
Повышает			
ли			
сероквель	1	сероквель	
уровень			
пролактина			
в			
крови			
Есть			
ли			
после			
него	1	сероквель	
акатизия			
тремор?В			
основном			
какие			
побочные			
встречаются			
при			
прееме			
Сероквеля	1	сероквель	
"
"			
На			
уровень			
пролактина			
Сероквель	1	сероквель	
практически			
не			
влияет			
Экстрапирамидные			
осложнения			
также			
бывают			
редко			
Этот			
препарат	1	сероквель	
отличается			
хорошей			
переносимостью			
"
"			
Лечит			
ли			
Сероквель	1	сероквель	
негативную			
симптоматику	2	сероквель	
"
"			
Нужно			
отметить			
что			
к			
сожалению			
Сероквель	1	сероквель	
сильно			
снижает			
артериальное			
давление			
и			
гипотоникам			
АД			
90/60			
он	1	сероквель	
по			
крайней			
мере			
не			
рекомендуется			
При			
применении			
с			
антидепрессантами	1	антидипрессанты	
ТЦА			
СИОЗСиН			
вызывает			
выраженную			
тахикардию			
В			
целом			
достаточно			
неплохой			
атипичный			
нейролептик	1	сероквель	
"
"			
Easy			
сказал(а			
"
"			
Нужно			
отметить			
что			
к			
сожалению			
Сероквель	1	сероквель	
сильно			
снижает			
артериальное			
давление			
и			
гипотоникам			
АД	1	антидипрессанты	
90/60			
он	1	сероквель	
по			
крайней			
мере			
не			
рекомендуется			
При			
применении			
с			
антидепрессантами	1	антидипрессанты	
ТЦА			
СИОЗСиН			
вызывает			
выраженную			
тахикардию			
В			
целом			
достаточно			
неплохой			
атипичный			
нейролептик	1	сероквель	
"

"			
А			
лечит			
ли			
сероквель	1	сероквель	
негфтивную			
симптоматику			
И			
вызывает			
ли			
этот			
препорат			
депрессию			
"
"			
Да			
Сероквель	1	сероквель	
пожалуй			
один	1	сероквель	
из			
лучших			
препаратов			
влияющих			
на			
негативную			
симптоматику			
"
"			
Вызывает			
ли			
Сероквель	1	сероквель	
дипрессию			
И			
еще			
вызывает			
ли			
этот			
препорат			
сексуальную			
дисфункцию			
в			
организме			
"
"			
Наталья1978			
сказал(а			
"
"			
Вызывает			
ли			
Сероквель	1	сероквель	
дипрессию			
И			
еще			
вызывает			
ли			
этот			
препорат	1	сероквель	
сексуальную			
дисфункцию			
в			
организме			
Депрессию			
не			
лечет	1	сероквель	
это			
не			
антидепрессант			
Если			
только			
депрессия			
не			
была			
вызвана			
шизофренией			
Дисфункцию			
не			
вызывает	1	сероквель	
некоторые			
даже			
сообщали			
о			
повышение			
либидо			
женщины			
Единсвенный			
недостаток			
это			
набор			
веса			
"
"			
Dark			
сказал(а			
"
"			
Наталья1978			
сказал(а			
"
"			
Вызывает			
ли			
Сероквель	1	сероквель	
дипрессию			
И			
еще			
вызывает			
ли			
этот			
препорат	1	сероквель	
сексуальную			
дисфункцию			
в			
организме			
Депрессию			
не			
лечет			
это			
не			
антидепрессант			
Если			
только			
депрессия			
не			
была			
вызвана			
шизофренией			
Дисфункцию			
не			
вызывает			
некоторые			
даже			
сообщали			
о			
повышение			
либидо			
женщины			
Единсвенный			
недостаток			
это			
набор			
веса			
При			
изолированном			
приеме			
Сероквель	1	сероквель	
конечно			
вызовет			
депрессию			
Но			
иногда			
нейролептики			
выписывают			
к			
антидепрессантам			
что			
бы			
преодолеть			
их			
резистентность			
при			
длительном			
приеме			
"
"			
При			
шизофрении	2	шизофрения	
картина			
конечно			
другая			
если			
она	2	шизофрения	
с			
депрессией	2	депрессия	
то			
Сероквель	1	сероквель	
в			
малых			
дозировках			
очень			
даже			
помогает			
"
"			
Обсуждаем			
препарат			
Сероквель	1	сероквель	
Кветиапин			
"
"			
Повышает			
ли			
сероквель	1	сероквель	
уровень			
пролактина			
в			
крови			
Есть			
ли			
после			
него			
акатизия			
тремор?В			
основном			
какие			
побочные			
встречаются			
при			
прееме			
Сероквеля	1	сероквель	
"
"			
На			
уровень			
пролактина			
Сероквель	1	сероквель	
практически			
не			
влияет			
Экстрапирамидные			
осложнения			
также			
бывают			
редко			
Этот			
препарат	1	сероквель	
отличается			
хорошей			
переносимостью			
"
"			
Лечит			
ли			
Сероквель	1	сероквель	
негативную			
симптоматику			
"
"			
Нужно			
отметить			
что			
к			
сожалению			
Сероквель	1	сероквель	
сильно			
снижает			
артериальное			
давление			
и			
гипотоникам			
АД			
90/60			
он	1	сероквель	
по			
крайней			
мере			
не			
рекомендуется			
При			
применении			
с			
антидепрессантами			
ТЦА			
СИОЗСиН			
вызывает	1	сероквель	
выраженную			
тахикардию			
В			
целом			
достаточно			
неплохой			
атипичный			
нейролептик	1	сероквель	
"
"			
Easy			
сказал(а			
"
"			
Нужно			
отметить			
что			
к			
сожалению			
Сероквель	1	сероквель	
сильно			
снижает			
артериальное			
давление			
и			
гипотоникам			
АД			
90/60			
он	1	сероквель	
по			
крайней			
мере			
не			
рекомендуется			
При			
применении			
с			
антидепрессантами			
ТЦА			
СИОЗСиН			
вызывает			
выраженную			
тахикардию			
В			
целом			
достаточно			
неплохой			
атипичный			
нейролептик	1	сероквель	
"

"			
А			
лечит			
ли			
сероквель	1	сероквель	
негфтивную			
симптоматику			
И			
вызывает			
ли			
этот			
препорат	1	сероквель	
депрессию			
"
"			
Да			
Сероквель	1	сероквель	
пожалуй			
один	1	сероквель	
из			
лучших			
препаратов			
влияющих			
на			
негативную			
симптоматику			
"
"			
Вызывает			
ли			
Сероквель	1	сероквель	
дипрессию			
И			
еще			
вызывает			
ли			
этот			
препорат	1	сероквель	
сексуальную			
дисфункцию			
в			
организме			
"
"			
Наталья1978			
сказал(а			
"
"			
Вызывает			
ли			
Сероквель	1	сероквель	
дипрессию			
И			
еще			
вызывает			
ли			
этот			
препорат	1	сероквель	
сексуальную			
дисфункцию			
в			
организме			
Депрессию			
не			
лечет			
это	1	сероквель	
не			
антидепрессант			
Если			
только			
депрессия			
не			
была			
вызвана			
шизофренией			
Дисфункцию			
не			
вызывает			
некоторые			
даже			
сообщали			
о			
повышение			
либидо			
женщины			
Единсвенный			
недостаток			
это			
набор			
веса			
"
"			
Dark			
сказал(а			
"
"			
Наталья1978			
сказал(а			
"
"			
Вызывает			
ли			
Сероквель	1	сероквель	
дипрессию			
И			
еще			
вызывает			
ли			
этот			
препорат			
сексуальную			
дисфункцию			
в			
организме			
Депрессию			
не			
лечет			
это			
не			
антидепрессант			
Если			
только			
депрессия			
не			
была			
вызвана			
шизофренией			
Дисфункцию			
не			
вызывает			
некоторые			
даже			
сообщали			
о			
повышение			
либидо			
женщины			
Единсвенный			
недостаток			
это			
набор			
веса			
При			
изолированном			
приеме			
Сероквель			
конечно			
вызовет			
депрессию			
Но			
иногда			
нейролептики			
выписывают			
к			
антидепрессантам			
что			
бы			
преодолеть			
их			
резистентность			
при			
длительном			
приеме			
"
"			
При			
шизофрении			
картина			
конечно			
другая			
если			
она			
с			
депрессией			
то			
Сероквель			
в			
малых			
дозировках			
очень			
даже			
помогает			
"
"			
Как			
же			
получается			
на			
пролактин			
не			
влияет			
а			
вес			
повышается			
"
"			
Jyliana			
сказал(а			
"
"			
Как			
же			
получается			
на			
пролактин	1	пролактин	
не			
влияет			
а			
вес			
повышается			
Сероквель	1	сероквель	
как			
раз			
влияет			
на			
пролактин	1	прегабалин	
как			
и			
все			
атипичные			
нейролептики			
Поэтому			
то			
восторг			
от			
новых			
препаратов			
значительно			
уменьшился			
"
"			
Цитата			
"
"			
Сероквель	1	сероквель	
как			
раз			
влияет			
на			
пролактин	1	прегабалин	
как			
и			
все			
атипичные			
нейролептики			
Поэтому			
то			
восторг			
от			
новых			
препаратов			
значительно			
уменьшился			
"
"			
Если			
и			
влияют			
то			
в			
значительно			
меньшей			
степени			
чем			
типичные			
И			
связывают			
же			
влияние			
на			
пролактин	1	пролактин	
с			
влиянием			
на			
D2			
рецепторы			
а			
атипичные			
влияют			
на			
них			
слабее			
чем			
типичные			
а			
сероквель	1	сероквель	
вообще			
слабо			
А			
наборо			
веса			
происходит			
скорее			
всего			
за			
счёт			
антигистаминного			
и			
антисеротонинового			
действия			
и			
повышения			
апппетита			
Есть			
даже			
какой			
то			
чистый			
антигистамин			
для			
этой			
цели			
аппетит			
повышать			
Амитриптилин			
тоже			
повышает			
аппетит			
"
"			
Кто			
то			
писал			
что			
сексуальные			
дисфункции			
не			
вызывает			
враньё			
Самолично			
уже			
почти			
три			
года			
принимаю			
сероквель	1	сероквель	
в			
супернизкой			
дозировке			
100			
мг			
сут			
клиторальным			
оргазмом			
почти			
не			
пахнет			
сильно			
снизилась			
чувствительность			
вагинального			
и			
подавно			
нет			
Ладно			
хоть			
либидо			
не			
убивает			
...			
"
"			
Насчёт			
пролактина	1	пролактин	
не			
знаю			
молоко			
из			
груди			
не			
бежит			
цикл			
в			
порядке			
Вес			
...			
Сероквель	1	сероквель	
начала			
принимать			
после			
рисполепта	1	рисполепт	
на			
фоне			
последнего	1	рисполепт	
набрала			
14			
кг			
после			
сероквеля	1	сероквель	
скинула			
2			
килограмма			
Может			
и			
влияет	1	сероквель	
на			
вес			
Да			
и			
какой			
нейролептик			
тем			
более			
атипичный			
не			
вызывает			
проблем			
с			
метаболизмом			
"
"			
Через			
сколько			
пройдет			
сонливость			
от			
сероквеля	1	сероквель	
Только			
начала			
принимать	1	сероквель	
"
"			
ЕлкаИголка			
сказал(а			
14.3.2008			
14:24			
"
"			
Через			
сколько			
пройдет			
сонливость			
от			
сероквеля	1	сероквель	
Только			
начала			
принимать	1	сероквель	
"
"			
ЁлкаИголка			
да			
никогда			
не			
пройдёт			
Это			
постоянная			
побочка			
а			
сероквель	1	сероквель	
один			
мой			
знакомый			
вырубидолом			
назвал			
На			
голодный			
желудок			
вырубает	1	сероквель	
минут			
через			
15			
влёгкую			
Зато			
удобно			
сон			
регулируется			
хочешь			
потусить			
подольше			
просто			
не			
принимаешь			
препарат	1	сероквель	
и			
можно			
около			
двух			
суток			
не			
спать			
проверено			
Правда			
если			
уж			
примешь	1	сероквель	
то			
меньше			
9			
часов			
точно			
не			
проспишь			
Так			
что			
аккуратней			
там			
...			
И			
с			
алкоголем			
не			
мешайте			
с			
него	1	сероквель	
продолжительность			
сна			
процентов			
на			
30			
миниму			
увеличивается			
Я			
так			
делала			
пила			
что			
хотела			
но			
в			
течение			
ближайших			
нескольких			
часов			
таблетки	1	сероквель	
не			
принимала			
чтоб			
алкоголь			
выветрился			
и			
не			
спать			
потом			
по			
20			
часов			
"
"			
Enotta			
сказал(а			
14.3.2008			
19:39			
"
"			
ЁлкаИголка			
да			
никогда			
не			
пройдёт			
Это			
постоянная			
побочка			
а			
сероквель	1	сероквель	
один			
мой			
знакомый			
вырубидолом			
назвал			
На			
голодный			
желудок			
вырубает			
минут			
через			
15			
влёгкую			
Зато			
удобно			
сон			
регулируется			
хочешь			
потусить			
подольше			
просто			
не			
принимаешь			
препарат	1	сероквель	
и			
можно			
около			
двух			
суток			
не			
спать			
проверено			
Правда			
если			
уж			
примешь			
то			
меньше			
9			
часов			
точно			
не			
проспишь			
Так			
что			
аккуратней			
там			
...			
И			
с			
алкоголем			
не			
мешайте			
с			
него			
продолжительность			
сна			
процентов			
на			
30			
миниму			
увеличивается			
Я			
так			
делала			
пила			
что			
хотела			
но			
в			
течение			
ближайших			
нескольких			
часов			
таблетки			
не			
принимала			
чтоб			
алкоголь			
выветрился			
и			
не			
спать			
потом			
по			
20			
часов			
Хм			
ну			
не			
спать			
по			
20			
часов			
сомнительная			
перспектива			
......			
"
"			
Но			
все			
время			
спать			
тоже			
как			
то			
...			
не			
очень			
....			
"
"			
Неужели			
опять			
менять			
препарат			
С			
Зелдокса	1	зелдокс	
сплю			
с			
рисполепта	1	рисполепт	
сплю			
....			
"
"			
Ёлка			
зачем			
менять			
Сероквель	1	сероквель	
я			
считаю			
прекрасный			
препарат	1	сероквель	
с			
минимумом			
побочек			
Сонливость			
после			
приёма			
это			
даже			
удобно			
Нужно			
не			
спать			
подольше			
просто			
примете			
его	1	сероквель	
позже			
Нужно			
уснуть			
в			
течение			
получаса			
принимаете	1	сероквель	
немедленно			
Конечно			
он	1	сероквель	
вырубает			
очень			
неприятно			
сразу			
и			
тяжело			
но			
менять			
только			
из			
за			
этого			
...			
не			
вижу			
смысла			
А			
с			
чудищем			
типа			
рисполепта	1	рисполепт	
вообще			
его	1	сероквель	
не			
сравнивайте			
"
"			
Кстати			
по			
поводу			
депресии			
интересный			
вопрос			
В			
НЦПЗ			
в			
2006-ом			
году			
проводили			
исследование			
про			
лечение			
